,osmid,y,x,street_count,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
5848,259490972,50.9933715,13.8263164,3,13.8263164,50.9933715,,,POINT (13.8263164 50.9933715),7.0,0.0,None,None
5849,259490781,50.9931009,13.8258241,3,13.8258241,50.9931009,,,POINT (13.8258241 50.9931009),7.0,0.0,None,None
5850,259490970,50.9929378,13.8253508,3,13.8253508,50.9929378,,,POINT (13.8253508 50.9929378),7.0,0.0,None,None
5851,260048989,51.0666764,13.8714397,1,13.8714397,51.0666764,,,POINT (13.8714397 51.0666764),8.0,4.0,None,None
5852,2135009370,51.0634415,13.8711163,1,13.8711163,51.0634415,,,POINT (13.8711163 51.0634415),8.0,4.0,None,None
5853,260236105,51.111324,13.7773698,3,13.7773698,51.111324,,,POINT (13.7773698 51.111324),5.0,6.0,None,None
5854,352753255,51.1118645,13.7785882,3,13.7785882,51.1118645,,,POINT (13.7785882 51.1118645),5.0,6.0,None,None
5855,260693152,51.0800874,13.895706,1,13.895706,51.0800874,,,POINT (13.895706 51.0800874),,,,
5856,260693153,51.0794243,13.895861,3,13.895861,51.0794243,,,POINT (13.895861 51.0794243),,,,
5857,260734111,51.0543901,13.8028119,3,13.8028119,51.0543901,,,POINT (13.8028119 51.0543901),6.0,3.0,None,None
5858,7332896880,51.0554013,13.8045589,1,13.8045589,51.0554013,,,POINT (13.8045589 51.0554013),6.0,3.0,None,None
5859,260740735,51.0140406,13.7922099,3,13.7922099,51.0140406,,,POINT (13.7922099 51.0140406),6.0,1.0,None,None
5860,3160378955,51.013335,13.7913966,3,13.7913966,51.013335,,,POINT (13.7913966 51.013335),6.0,1.0,None,None
5861,9791381484,51.0144508,13.791282,1,13.791282,51.0144508,,,POINT (13.791282 51.0144508),6.0,1.0,None,None
5862,4361808115,51.01399,13.7992773,3,13.7992773,51.01399,,,POINT (13.7992773 51.01399),6.0,1.0,None,None
5863,260742735,51.0131013,13.7956941,4,13.7956941,51.0131013,,,POINT (13.7956941 51.0131013),6.0,1.0,None,None
