From,To,Volume,EstimatedTT
25272054,27254446,4436.01,0.17
25272054,27598015,482.07,0.29
27254446,2414808767,5322.09,0.56
25272057,2454004902,0.0,0.81
25272081,15613573,0.0,0.43
25272081,151013145,0.0,0.17
151013145,24945369,846.04,0.23
1703242714,1150742708,1275.2,1.11
28796755,18629762,2293.05,1.23
28796755,25479302,665.9,0.05
25599928,25599929,1000.48,0.11
2526224454,2526224463,720.26,0.03
2572637252,311651883,1170.8,0.44
10584342336,2526224463,390.37,0.05
2628479858,18631911,10.53,0.02
246859505,246859538,141.0,0.03
25621131,824105653,0.0,0.63
824105653,1147969960,138.48,0.22
824105653,824109954,714.79,0.1
773660261,11068788,667.92,0.01
773660261,773660264,0.0,0.03
25621140,25621145,2013.4,0.01
25621140,29812910,858.27,0.87
25621145,31347711,254.81,0.01
25621145,2453232134,2013.4,0.03
29812910,3912609301,951.24,1.67
31347711,25621140,0.0,0.01
31347711,2453232137,254.81,0.01
2453232134,824109954,2274.49,0.51
25621845,1586186718,1611.7,0.02
1586186718,1586186709,71.16,0.02
1586186718,4862265259,1540.54,0.58
25621848,11004892,1002.09,1.66
25622934,3844764334,1103.67,0.44
3844764334,3020440809,1318.56,1.45
529723416,3861801996,768.64,0.08
25694685,3866868163,1150.85,0.26
3866868163,3866701865,1316.09,0.38
25694759,1115569637,36.29,0.03
364757216,30332565,355.55,0.04
1115569637,4516060826,491.01,0.04
3842071988,1115569637,668.43,0.56
3859885311,3859855174,0.0,0.04
25740442,10919223,684.37,0.12
25755497,11008027,1609.87,0.02
25755497,25740441,1286.48,0.54
25755500,10919218,980.51,0.4
25755506,25755507,2171.31,0.62
25755507,25755500,615.62,0.09
25755507,25755498,1555.69,0.06
25873173,25873183,1936.26,0.67
25873173,21684322,1320.33,0.03
25935156,26164161,1353.36,0.36
26164161,779052658,14.78,0.01
26164161,440369967,1338.58,0.25
25949480,31314454,2763.79,2.31
31314454,317611132,1769.69,0.17
31314454,317611131,994.1,0.09
3840142105,1785077919,0.0,0.05
25950253,26164148,788.35,0.43
25950253,25935156,0.0,0.91
26164148,26164147,2820.38,0.08
26164147,317611131,578.45,0.02
26164147,25949480,2241.93,2.04
