from,to,volume,EstimatedTT,length,CO2,lengthm
2391815771,3808791647,46.47039062,106.4930348,1774.883,16654.12938,1.102860825
1490607179,1490607079,0,69.61134,1160.189,0,0.720907799
1490607179,1490607173,0,4.14294,69.049,0,0.042905046
1490607277,3808791646,0,38.26332,637.722,0,0.396261957
1490607277,2391851733,1.89E-06,1.66104,27.684,1.06E-05,0.017202035
3808791646,2391815771,0,115.8015,1930.025,0,1.199261564
2391851733,1490607277,0,1.68792,28.132,0,0.017480409
2391851733,2391851752,46.47039251,6.053163112,100.886,946.6362376,0.062687635
1490607323,1490607324,1.89E-06,0.69114,11.519,4.39E-06,0.007157573
1490607323,2391851758,0,0.8985,14.975,0,0.009305031
1490607324,1490607277,1.89E-06,7.90284,131.714,5.02E-05,0.08184326
2391851758,1490607324,0,15.99468,266.578,0,0.165643838
1490607336,1490607179,0,179.62674,2993.779,0,1.860247451
1490607336,1490607277,0,18.9456,315.76,0,0.196204107
3808791647,2391851733,46.47039062,37.95859952,632.643,5936.232628,0.393106014
2391851752,611075084,0,16.4916,274.86,0,0.170790033
2391851752,1490607323,0,1.59012,26.502,0,0.016467574
2923606780,611075562,0,107.75724,1795.954,0,1.115953733
3939124521,8009990460,0,0.99108,16.518,0,0.010263806
3536528788,3536528826,0,11.02794,183.799,0,0.114207368
8009990459,3939124519,0,0.94284,15.714,0,0.009764224
3757847137,5479993981,0,0.7806,13.01,0,0.008084037
5479993981,4483729198,0,144.12906,2402.151,0,1.492626969
5479993981,4923102849,0,1.85478,30.913,0,0.019208442
3939124519,611074942,0,116.46876,1941.146,0,1.206171831
3939124519,3939124521,0,2.26788,37.798,0,0.023486581
8009990460,671439805,0,68.2923,1138.205,0,0.707247579
8009990460,8009990459,0,2.36502,39.417,0,0.024492581
3977933580,611075244,0,118.8816,1981.36,0,1.231159645
10032129071,10032129053,0,1.1322,18.87,0,0.011725271
10027856886,611075625,0.255078563,8.064,134.4,6.92227872,0.083512262
10027856886,5590306829,46.21523441,1.598640137,26.644,248.6339567,0.016555809
5590306837,4604787179,29.64723939,96.66822141,1611.137,9644.785722,1.001113809
9256584597,9256584602,0,3.0093,50.155,0,0.031164863
4483729199,671395623,0,70.93302,1182.217,0,0.73459536
4483729199,611074863,0,1.6302,27.17,0,0.01688265
4604787043,4604787067,0,68.55444,1142.574,0,0.709962349
4604787043,611075703,46.47031298,89.09406782,1484.901,13933.13847,0.922674419
4604787067,611075703,0,20.89374,348.229,0,0.216379402
4604787161,4604787168,0,2.16006,36.001,0,0.022369977
4604787171,4604787170,0,1.21398,20.233,0,0.012572199
4604787171,4604787161,0,1.59804,26.634,0,0.016549595
4604787179,4604787201,29.64723939,65.57286095,1092.881,6542.338153,0.67908456
4604787180,4604787171,0,26.39064,439.844,0,0.273306306
4604787201,1490607093,29.64723939,53.47188078,891.198,5334.998666,0.553764592
4605618144,1490607336,0,154.9374,2582.29,0,1.60456012
4605618128,4605618146,0,2.59674,43.279,0,0.026892316
4605618146,4605618129,0,1.12704,18.784,0,0.011671833
4605618146,2923606780,0,10.95054,182.509,0,0.1134058
4605618129,4605618144,0,11.36274,189.379,0,0.117674619
4605618129,4605618128,0,1.40892,23.482,0,0.014591034
4906760573,4906760574,0,0.93906,15.651,0,0.009725078
4906760574,3977933580,0,26.6598,444.33,0,0.276093776
