gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,highway,ref,nodeID,geometry,lanecapacity
15,2,None,None,False,151.668,154,399204289,37.9634018,23.5653695,3,23.5653695,37.9634018,,,371,POINT (23.5653695 37.9634018),5400
15,6,None,None,False,22.128,158,7871414786,37.9623484,23.6085057,4,23.6085057,37.9623484,,,375,POINT (23.6085057 37.9623484),7200
15,6,None,None,False,22.128,158,4713303340,37.9673853,23.6061306,1,23.6061306,37.9673853,,,2870,POINT (23.6061306 37.9673853),1400
15,7,None,None,False,17.616,160,153799150,37.9642499,23.6135904,4,23.6135904,37.9642499,,,318,POINT (23.6135904 37.9642499),6400
15,7,None,None,False,17.616,160,9046996467,37.96228,23.6098404,3,23.6098404,37.96228,,,316,POINT (23.6098404 37.96228),5400
15,10,None,None,False,1585.627,162,567064398,37.9681204,23.6453482,4,23.6453482,37.9681204,traffic_signals,,1583,POINT (23.6453482 37.9681204),6400
15,10,None,None,False,1585.627,162,4179497343,37.9655577,23.6371208,3,23.6371208,37.9655577,,,2288,POINT (23.6371208 37.9655577),5000
15,10,None,None,False,1585.627,162,989163704,37.9644828,23.6397755,2,23.6397755,37.9644828,traffic_signals,,1801,POINT (23.6397755 37.9644828),2800
15,11,None,None,False,1411.585,164,365373255,37.9685324,23.6466286,4,23.6466286,37.9685324,traffic_signals,,1580,POINT (23.6466286 37.9685324),6400
15,11,None,None,False,1411.585,164,155501630,37.9634113,23.6492094,4,23.6492094,37.9634113,traffic_signals,,404,POINT (23.6492094 37.9634113),5600
15,11,None,None,False,1411.585,164,5581259109,37.9670184,23.650605,2,23.650605,37.9670184,,,1599,POINT (23.650605 37.9670184),2800
15,18,None,None,False,300.166,169,250679203,37.9618154,23.7108184,4,23.7108184,37.9618154,,,587,POINT (23.7108184 37.9618154),7300
15,18,None,None,False,300.166,169,819929841,37.961786,23.7171252,1,23.7171252,37.961786,,,2147,POINT (23.7171252 37.961786),1800
15,18,None,None,False,300.166,169,250678859,37.9639171,23.7154762,3,23.7154762,37.9639171,,,583,POINT (23.7154762 37.9639171),5400
15,18,None,None,False,300.166,169,6939406197,37.9635803,23.7103465,3,23.7103465,37.9635803,,,585,POINT (23.7103465 37.9635803),5000
15,21,None,None,False,600.11,173,7229807073,37.9686499,23.7377436,3,23.7377436,37.9686499,,,1550,POINT (23.7377436 37.9686499),6300
15,21,None,None,False,600.11,173,3217770292,37.968077,23.744321,2,23.744321,37.968077,,,721,POINT (23.744321 37.968077),4200
15,22,None,None,False,1369.044,175,251110819,37.9678015,23.7470072,4,23.7470072,37.9678015,traffic_signals,,718,POINT (23.7470072 37.9678015),5600
15,22,None,None,False,1369.044,175,6897170564,37.9675104,23.7496157,3,23.7496157,37.9675104,,,722,POINT (23.7496157 37.9675104),4200
15,22,None,None,False,1369.044,175,251110816,37.9659523,23.7466928,3,23.7466928,37.9659523,,,719,POINT (23.7466928 37.9659523),4200
15,25,None,None,False,1523.331,179,7023212209,37.9652511,23.7763279,2,23.7763279,37.9652511,,,1268,POINT (23.7763279 37.9652511),4200
15,25,None,None,False,1523.331,179,5465573640,37.9652701,23.7755836,2,23.7755836,37.9652701,,,2219,POINT (23.7755836 37.9652701),4200
15,26,None,None,False,1309.485,181,1305739807,37.9678762,23.7900657,3,23.7900657,37.9678762,motorway_junction,,116,POINT (23.7900657 37.9678762),5400
15,26,None,None,False,1309.485,181,1171066982,37.9650784,23.7894981,2,23.7894981,37.9650784,,,2335,POINT (23.7894981 37.9650784),3200
16,10,None,None,False,1134.174,186,365373695,37.9687998,23.6449939,4,23.6449939,37.9687998,traffic_signals,,1582,POINT (23.6449939 37.9687998),6400
16,10,None,None,False,1134.174,186,365374402,37.9757708,23.642107,3,23.642107,37.9757708,,,1584,POINT (23.642107 37.9757708),4200
16,11,None,None,False,668.425,188,357254517,37.9703217,23.6520235,5,23.6520235,37.9703217,,,1210,POINT (23.6520235 37.9703217),7800
16,11,None,None,False,668.425,188,6351359526,37.9692168,23.6462731,4,23.6462731,37.9692168,,,1213,POINT (23.6462731 37.9692168),6400
16,12,None,None,False,2594.944,190,153791599,37.9732659,23.661159,4,23.661159,37.9732659,,,310,POINT (23.661159 37.9732659),6400
16,12,None,None,False,2594.944,190,988989347,37.9704233,23.6617017,1,23.6617017,37.9704233,,,2287,POINT (23.6617017 37.9704233),1400
16,21,None,None,False,1454.128,198,251109645,37.9707673,23.7414658,4,23.7414658,37.9707673,,,712,POINT (23.7414658 37.9707673),7300
16,21,None,None,False,1454.128,198,2062506602,37.9689075,23.7382388,3,23.7382388,37.9689075,,,2222,POINT (23.7382388 37.9689075),5900
16,21,None,None,False,1454.128,198,8445978240,37.9753413,23.7432745,3,23.7432745,37.9753413,,,607,POINT (23.7432745 37.9753413),5400
16,21,None,None,False,1454.128,198,250692401,37.9757883,23.7390757,3,23.7390757,37.9757883,,,605,POINT (23.7390757 37.9757883),5000
16,22,None,None,False,669.614,200,6281867408,37.9750548,23.7477357,4,23.7477357,37.9750548,,,2967,POINT (23.7477357 37.9750548),6400
16,22,None,None,False,669.614,200,1211280648,37.9693119,23.7537752,3,23.7537752,37.9693119,,,2218,POINT (23.7537752 37.9693119),4200
16,22,None,None,False,669.614,200,2296291519,37.9722538,23.7525629,3,23.7525629,37.9722538,,,1309,POINT (23.7525629 37.9722538),4200
16,22,None,None,False,669.614,200,838712128,37.9751408,23.7503226,3,23.7503226,37.9751408,,,1261,POINT (23.7503226 37.9751408),4200
17,11,None,None,False,1105.69,208,357255317,37.9808333,23.6545933,4,23.6545933,37.9808333,traffic_signals,,322,POINT (23.6545933 37.9808333),5600
17,11,None,None,False,1105.69,208,10151963675,37.9766163,23.6510684,3,23.6510684,37.9766163,,,1215,POINT (23.6510684 37.9766163),4200
17,11,None,None,False,1105.69,208,510488924,37.9769314,23.6475482,2,23.6475482,37.9769314,traffic_signals,,1221,POINT (23.6475482 37.9769314),2800
17,12,None,None,False,523.855,210,365131334,37.9805395,23.6553779,4,23.6553779,37.9805395,,,1220,POINT (23.6553779 37.9805395),5600
17,12,None,None,False,523.855,210,988757781,37.9785173,23.6607934,4,23.6607934,37.9785173,,,1566,POINT (23.6607934 37.9785173),5600
17,18,None,None,False,630.296,214,250664454,37.9760846,23.7115181,4,23.7115181,37.9760846,,,554,POINT (23.7115181 37.9760846),7200
17,18,None,None,False,630.296,214,251140818,37.9809146,23.7113485,4,23.7113485,37.9809146,,,758,POINT (23.7113485 37.9809146),5600
17,18,None,None,False,630.296,214,6742071240,37.97907,23.7166691,4,23.7166691,37.97907,,,3018,POINT (23.7166691 37.97907),6400
17,19,None,None,False,1018.852,216,2318403662,37.982284,23.7240131,3,23.7240131,37.982284,,,679,POINT (23.7240131 37.982284),7200
17,19,None,None,False,1018.852,216,7214467399,37.9827092,23.7249813,2,23.7249813,37.9827092,,,2675,POINT (23.7249813 37.9827092),6300
17,20,None,None,False,191.099,218,250691827,37.9765,23.7358438,3,23.7358438,37.9765,,,600,POINT (23.7358438 37.9765),8100
17,20,None,None,False,191.099,218,250702474,37.9822249,23.7313355,2,23.7313355,37.9822249,,,608,POINT (23.7313355 37.9822249),3600
17,20,None,None,False,191.099,218,250700142,37.9829031,23.7291536,3,23.7291536,37.9829031,,,609,POINT (23.7291536 37.9829031),5400
17,22,None,None,False,216.375,221,574812197,37.9762578,23.7494933,4,23.7494933,37.9762578,,,710,POINT (23.7494933 37.9762578),8000
17,22,None,None,False,216.375,221,8445978239,37.9759128,23.7456342,3,23.7456342,37.9759128,,,151,POINT (23.7456342 37.9759128),5400
18,15,None,None,False,32.598,228,1174962706,37.9839967,23.6824192,3,23.6824192,37.9839967,,,807,POINT (23.6824192 37.9839967),14000
18,15,None,None,False,32.598,228,668992246,37.990151,23.6878818,3,23.6878818,37.990151,,,757,POINT (23.6878818 37.990151),4200
18,15,None,None,False,32.598,228,262413077,37.9866808,23.6841623,3,23.6841623,37.9866808,,,806,POINT (23.6841623 37.9866808),6800
18,18,None,None,False,714.076,230,652688299,37.9849119,23.7117103,3,23.7117103,37.9849119,,,1346,POINT (23.7117103 37.9849119),8600
18,18,None,None,False,714.076,230,951713740,37.9843272,23.7146465,4,23.7146465,37.9843272,,,768,POINT (23.7146465 37.9843272),5600
18,18,None,None,False,714.076,230,7331500784,37.988801,23.7168514,3,23.7168514,37.988801,,,1347,POINT (23.7168514 37.988801),4200
18,19,None,None,False,1494.151,232,962356785,37.987173,23.7268008,4,23.7268008,37.987173,,,2083,POINT (23.7268008 37.987173),7200
18,19,None,None,False,1494.151,232,952764144,37.9859209,23.7222394,3,23.7222394,37.9859209,,,184,POINT (23.7222394 37.9859209),4200
18,19,None,None,False,1494.151,232,6355624058,37.9876906,23.7200874,4,23.7200874,37.9876906,,,2214,POINT (23.7200874 37.9876906),5600
18,19,None,None,False,1494.151,232,8212395770,37.988863,23.7250927,3,23.7250927,37.988863,,,2964,POINT (23.7250927 37.988863),4200
18,19,None,None,False,1494.151,232,360079251,37.9849893,23.7195932,3,23.7195932,37.9849893,,,677,POINT (23.7195932 37.9849893),5900
18,20,None,None,False,90.161,234,250714051,37.983919,23.7293833,5,23.7293833,37.983919,,,610,POINT (23.7293833 37.983919),10800
18,20,None,None,False,90.161,234,97788195,37.9875469,23.7302398,4,23.7302398,37.9875469,,,200,POINT (23.7302398 37.9875469),6800
18,20,None,None,False,90.161,234,597677303,37.9894966,23.7306793,4,23.7306793,37.9894966,,,206,POINT (23.7306793 37.9894966),7200
18,20,None,None,False,90.161,234,95663420,37.9861564,23.7285143,4,23.7285143,37.9861564,,,186,POINT (23.7285143 37.9861564),7200
18,23,None,None,False,29.304,237,4238774499,37.9865476,23.7613394,4,23.7613394,37.9865476,,,1512,POINT (23.7613394 37.9865476),9900
18,23,None,None,False,29.304,237,213006831,37.9847109,23.7599803,3,23.7599803,37.9847109,,,509,POINT (23.7599803 37.9847109),6300
18,37,None,None,False,2561.64,243,445393555,37.987682,23.8830564,4,23.8830564,37.987682,,,1608,POINT (23.8830564 37.987682),5600
18,37,None,None,False,2561.64,243,1374277430,37.9875781,23.8834018,3,23.8834018,37.9875781,,,1611,POINT (23.8834018 37.9875781),2800
19,19,None,None,False,3344.681,250,98303894,37.9919569,23.7269517,4,23.7269517,37.9919569,,,181,POINT (23.7269517 37.9919569),6400
19,19,None,None,False,3344.681,250,7608268128,37.9967862,23.7217316,3,23.7217316,37.9967862,,,629,POINT (23.7217316 37.9967862),4200
19,19,None,None,False,3344.681,250,250922398,37.9922147,23.7213868,4,23.7213868,37.9922147,,,212,POINT (23.7213868 37.9922147),5600
19,19,None,None,False,3344.681,250,358465079,37.9945727,23.7214143,3,23.7214143,37.9945727,,,1115,POINT (23.7214143 37.9945727),4200
19,20,None,None,False,611.275,252,358464212,37.9915406,23.732304,4,23.732304,37.9915406,,,204,POINT (23.732304 37.9915406),7300
19,20,None,None,False,611.275,252,358464160,37.9954508,23.7331881,3,23.7331881,37.9954508,,,1193,POINT (23.7331881 37.9954508),4200
19,20,None,None,False,611.275,252,97788471,37.9915157,23.7298367,4,23.7298367,37.9915157,,,179,POINT (23.7298367 37.9915157),5600
19,20,None,None,False,611.275,252,358465449,37.9948549,23.7306743,4,23.7306743,37.9948549,,,207,POINT (23.7306743 37.9948549),5600
19,35,None,None,False,1462.436,261,152950258,37.991447,23.8721177,3,23.8721177,37.991447,,,257,POINT (23.8721177 37.991447),14000
