,from,highway,lanes,length,maxspeed,oneway,osmid,to,geometry,capacity,edgeID
3641,7961788473,secondary,2.0,8.182,60,True,853606057,7961788476,"LINESTRING (23.8545374 38.0530547, 23.8545148 38.0529833)",700,3619
3642,7961788473,secondary,2.0,77.457,30,True,"[853606050, 853606058]",3395638295,"LINESTRING (23.8545374 38.0530547, 23.8542902 38.0531122, 23.8540719 38.0531601, 23.8540386 38.0531655, 23.8536797 38.053223)",700,3620
3643,8620746932,secondary,2.0,184.666,60,True,"[929551792, 929551787]",8620746935,"LINESTRING (23.8120569 38.0271756, 23.811954 38.0271085, 23.8118888 38.02706, 23.8118424 38.0270231, 23.8116648 38.0268647, 23.8115782 38.0267884, 23.8114832 38.0267221, 23.8114391 38.0266911, 23.8113736 38.0266479, 23.8110189 38.0264359, 23.8106223 38.0262073, 23.8106004 38.0261947, 23.8104612 38.026098)",700,3621
3644,3399625693,secondary_link,2.0,30.549,60,True,208348272,2186462779,"LINESTRING (23.8271154 38.0231538, 23.8271167 38.0230917, 23.827107 38.0230534, 23.827096 38.0230277, 23.8270788 38.0229895, 23.8270607 38.0229685, 23.8270359 38.0229495, 23.8269865 38.0229131)",700,3622
3645,3523130307,secondary_link,2.0,45.134,30,True,602184694,6348360304,"LINESTRING (23.6989414 38.0182269, 23.6994206 38.0180778)",700,3623
3646,3523130307,secondary,2.0,64.419,30,True,789888192,5720763495,"LINESTRING (23.6989414 38.0182269, 23.6994918 38.0178427)",700,3624
3647,6348360304,secondary_link,2.0,8.994,30,True,602184694,6348360305,"LINESTRING (23.6994206 38.0180778, 23.6995207 38.0180598)",700,3625
3648,6348360304,secondary_link,2.0,26.938,60,True,789888190,5720763495,"LINESTRING (23.6994206 38.0180778, 23.6994612 38.0179111, 23.6994918 38.0178427)",700,3626
3649,5720763495,secondary,2.0,820.8829999999999,50,True,"[789888192, 789888198, 789888200, 789888203, 789888204, 789888206, 796745144, 789888191]",359108401,"LINESTRING (23.6994918 38.0178427, 23.6995768 38.0177717, 23.6997904 38.0175987, 23.7000348 38.0174009, 23.7000808 38.0173636, 23.700183 38.0172809, 23.7006185 38.0169574, 23.7007421 38.016907, 23.7009143 38.016778, 23.7014066 38.0164161, 23.7019884 38.0159882, 23.7025765 38.0155558, 23.7026938 38.015484, 23.7028292 38.0154112, 23.7038635 38.0148993, 23.7045021 38.0145718, 23.7047464 38.0144462, 23.7049707 38.0143378, 23.7051715 38.014218, 23.705484 38.0140109, 23.7056208 38.0139158, 23.705716 38.0138471, 23.705829 38.0137545, 23.7059216 38.0136526, 23.7060026 38.0135525, 23.7060087 38.0135451, 23.7060449 38.0135003, 23.7061189 38.0133939, 23.7063854 38.0129701)",700,3627
3650,3550574298,secondary_link,2.0,22.016000000000002,60,True,349132992,251142008,"LINESTRING (23.6525272 38.005818, 23.6525467 38.0058441, 23.6525739 38.0058655, 23.652607 38.0058808, 23.6526459 38.0058888, 23.6526737 38.0058903, 23.6527058 38.005886, 23.6527389 38.0058761)",700,3628
3651,3605587277,primary_link,2.0,30.636,60,True,824091883,3605587272,"LINESTRING (23.7839868 37.9990136, 23.7839652 37.9989507, 23.7839357 37.9988916, 23.7838949 37.998828, 23.7838423 37.9987648)",900,3629
3652,9649235469,secondary,2.0,16.172,50,True,355130481,10131942144,"LINESTRING (23.6566013 37.9487031, 23.656529 37.9485693)",700,3630
3653,3607367661,secondary,2.0,32.69,50,True,372507434,3607367649,"LINESTRING (23.6572803 37.9494001, 23.6570399 37.9491754)",700,3631
3654,3607367661,secondary,2.0,276.28499999999997,50,True,204769540,573803596,"LINESTRING (23.6572803 37.9494001, 23.6568798 37.949269, 23.6567995 37.9492426, 23.6567633 37.9492307, 23.656315 37.9490831, 23.6554474 37.9487976, 23.6552815 37.948738, 23.6551339 37.9486869, 23.6549542 37.9486288, 23.6548303 37.9485973, 23.6547388 37.9485775, 23.6546623 37.9485637, 23.6545706 37.9485498, 23.6544762 37.9485398, 23.6543411 37.9485348)",700,3632
3655,3659656280,secondary_link,2.0,259.23400000000004,50,True,"[83553697, 635040314]",973016840,"LINESTRING (23.7836671 38.0896261, 23.7836749 38.0895898, 23.7836986 38.0895589, 23.7837367 38.0895361, 23.7838785 38.0894816, 23.7839925 38.0894283, 23.7841419 38.089351, 23.7844582 38.0891649, 23.7852338 38.0886113, 23.7855011 38.088415, 23.7857799 38.0882323, 23.7859472 38.0881757)",700,3633
3656,7750137334,secondary_link,2.0,33.562,60,True,361504212,360201203,"LINESTRING (23.8156173 38.1023853, 23.815729 38.1023963, 23.8158015 38.1023794, 23.8158767 38.1023456, 23.8159409 38.1022765)",700,3634
3657,7750137334,secondary,2.0,21.726,60,True,830295208,3659672717,"LINESTRING (23.8156173 38.1023853, 23.8157481 38.1024214, 23.8158488 38.1024556)",700,3635
3658,3659673560,secondary,2.0,26.471,60,True,361504227,360241140,"LINESTRING (23.814712 38.1054456, 23.8148426 38.1054987, 23.8149823 38.1055525)",700,3636
3659,6872022300,secondary,2.0,9.033,60,True,733729207,5406237826,"LINESTRING (23.8145318 38.1053764, 23.8144527 38.1054286)",700,3637
3660,6872022300,secondary,2.0,17.544,60,True,923249717,3659673560,"LINESTRING (23.8145318 38.1053764, 23.814712 38.1054456)",700,3638
3661,3879097172,trunk,2.0,35.54,60,True,384601868,6056031388,"LINESTRING (23.5965322 38.0301527, 23.5967927 38.0302441, 23.5968657 38.0303197)",1200,3639
3662,3754831208,motorway_link,2.0,27.381,50,True,371937614,2422451185,"LINESTRING (23.6749687 38.0734094, 23.675017 38.0734822, 23.6750617 38.0735563, 23.6751029 38.0736317)",2000,3640
3663,3754831209,motorway_link,2.0,32.019999999999996,50,True,371937616,2422451185,"LINESTRING (23.67527 38.0734163, 23.6752003 38.0734337, 23.6751427 38.0734692, 23.6751045 38.0735184, 23.6750907 38.0735749, 23.6751029 38.0736317)",2000,3641
