,osmid,y,x,street_cou,lon,lat,ref,highway,geometry
893,5409926535,45.5412594,-73.5739435,2,-73.5739435,45.5412594,,,POINT (-73.5739435 45.5412594)
894,438304334,45.5375101,-73.5774403,4,-73.5774403,45.5375101,,traffic_signals,POINT (-73.57744030000001 45.5375101)
895,209493251,45.5368403,-73.5635161,4,-73.5635161,45.5368403,,traffic_signals,POINT (-73.5635161 45.5368403)
896,209493254,45.5373908,-73.5630193,4,-73.5630193,45.5373908,,traffic_signals,POINT (-73.56301929999999 45.5373908)
897,209493338,45.5393863,-73.5684807,3,-73.5684807,45.5393863,,traffic_signals,POINT (-73.56848069999999 45.5393863)
898,209493280,45.5365652,-73.5610455,4,-73.5610455,45.5365652,,traffic_signals,POINT (-73.56104550000001 45.5365652)
899,209493393,45.5324412,-73.5531552,4,-73.5531552,45.5324412,,traffic_signals,POINT (-73.55315520000001 45.5324412)
900,213759835,45.5459466,-73.5560264,4,-73.5560264,45.5459466,,traffic_signals,POINT (-73.55602639999999 45.5459466)
901,209493335,45.5390403,-73.5687516,4,-73.5687516,45.5390403,,traffic_signals,POINT (-73.5687516 45.5390403)
902,438304343,45.5351679,-73.5724466,4,-73.5724466,45.5351679,,,POINT (-73.57244660000001 45.5351679)
903,215694583,45.5288379,-73.5446174,4,-73.5446174,45.5288379,,traffic_signals,POINT (-73.54461740000001 45.5288379)
904,209507952,45.5329927,-73.5526755,4,-73.5526755,45.5329927,,traffic_signals,POINT (-73.55267550000001 45.5329927)
905,209507995,45.5376415,-73.5494861,2,-73.5494861,45.5376415,,,POINT (-73.5494861 45.5376415)
906,209507991,45.5396113,-73.5483239,2,-73.5483239,45.5396113,,,POINT (-73.5483239 45.5396113)
907,218344147,45.5429986,-73.5461162,4,-73.5461162,45.5429986,,,POINT (-73.5461162 45.5429986)
908,209508155,45.5261235,-73.5531933,3,-73.5531933,45.5261235,,,POINT (-73.5531933 45.5261235)
909,209508253,45.5256865,-73.554461,3,-73.554461,45.5256865,,,POINT (-73.554461 45.5256865)
910,209508176,45.5247151,-73.5563808,3,-73.5563808,45.5247151,,,POINT (-73.5563808 45.5247151)
911,5413864605,45.5214492,-73.5498686,4,-73.5498686,45.5214492,,traffic_signals,POINT (-73.5498686 45.5214492)
912,3057326713,45.5260364,-73.5549208,3,-73.5549208,45.5260364,,,POINT (-73.5549208 45.5260364)
913,4203554323,45.5207849,-73.5360706,3,-73.5360706,45.5207849,,,POINT (-73.5360706 45.5207849)
914,212659205,45.4875185,-73.5595701,3,-73.5595701,45.4875185,,traffic_signals,POINT (-73.5595701 45.4875185)
915,5422502554,45.4762272,-73.576351,2,-73.576351,45.4762272,,,POINT (-73.576351 45.4762272)
