,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,geometry,capacity
1266,308475625,secondary,2.0,63.281,50,興華街 Hing Wah Street,1,151355570,308475634,"LINESTRING (114.1557303 22.3396626, 114.1553473 22.3392172)",700
1267,308475625,residential,2.0,18.446,50,順寧道 Shun Ning Road,1,151355605,4864808908,"LINESTRING (114.1557303 22.3396626, 114.1555989 22.3397755)",400
1268,308475627,residential,2.0,117.354,50,順寧道 Shun Ning Road,1,151355605,308475625,"LINESTRING (114.1566087 22.338989, 114.1557303 22.3396626)",400
1269,1641766836,secondary,2.0,59.009,50,興華街 Hing Wah Street,1,151355570,308475625,"LINESTRING (114.1561027 22.3400663, 114.1557303 22.3396626)",700
1270,308475627,residential,1.0,57.417,50,長發街 Cheung Fat Street,1,103430954,1641766783,"LINESTRING (114.1566087 22.338989, 114.1569842 22.3393711)",400
1271,308475637,residential,1.0,63.323,50,長發街 Cheung Fat Street,1,103430954,308475627,"LINESTRING (114.1562138 22.3385521, 114.1566087 22.338989)",400
1272,1641766678,residential,2.0,121.267,50,順寧道 Shun Ning Road,1,151355605,308475627,"LINESTRING (114.1575131 22.3382893, 114.1566087 22.338989)",400
1273,308475630,residential,1.0,57.774,50,永隆街 Wing Lung Street,1,103239107,1641766667,"LINESTRING (114.158389 22.3376053, 114.1587458 22.3380066)",400
1274,308475630,residential,2.0,117.9,50,順寧道 Shun Ning Road,1,151355605,1641766678,"LINESTRING (114.158389 22.3376053, 114.1575131 22.3382893)",400
1275,308475643,residential,1.0,63.511,50,永隆街 Wing Lung Street,1,103239107,308475630,"LINESTRING (114.1579941 22.3371662, 114.158389 22.3376053)",400
1276,1645493041,residential,2.0,119.738,50,順寧道 Shun Ning Road,1,151355605,308475630,"LINESTRING (114.1592836 22.3369162, 114.158389 22.3376053)",400
1277,308475632,secondary,3.0,62.268,50,東京街 Tonkin Street,1,151705906,308475646,"LINESTRING (114.1594163 22.3368007, 114.1590241 22.3363741)",700
1278,308475632,residential,2.0,18.741,50,順寧道 Shun Ning Road,1,484579385,1645493041,"LINESTRING (114.1594163 22.3368007, 114.1592836 22.3369162)",400
1279,1641766630,residential,2.0,118.223,50,順寧道 Shun Ning Road,1,484579386,308475632,"LINESTRING (114.1603081 22.3361299, 114.1594163 22.3368007)",400
1280,4773277684,secondary,3.0,59.662,50,東京街 Tonkin Street,1,524177056,308475632,"LINESTRING (114.1597701 22.3372259, 114.1594163 22.3368007)",700
1281,308475634,secondary,2.0,66.781,50,興華街 Hing Wah Street,1,648622764,308475657,"LINESTRING (114.1553473 22.3392172, 114.1549269 22.3387595)",700
1282,308475634,secondary,3.0,115.809,50,青山道 Castle Peak Road,1,648622765,308475637,"LINESTRING (114.1553473 22.3392172, 114.1562138 22.3385521)",700
1283,4864808907,secondary,3.0,19.751,50,青山道 Castle Peak Road,1,648622762,308475634,"LINESTRING (114.1552015 22.3393328, 114.1553473 22.3392172)",700
1284,308475637,residential,1.0,65.156,50,長發街 Cheung Fat Street,1,103430955,1641766671,"LINESTRING (114.1562138 22.3385521, 114.155824 22.3380902)",400
1285,308475637,secondary,3.0,119.911,50,青山道 Castle Peak Road,1,648622765,308475640,"LINESTRING (114.1562138 22.3385521, 114.1571036 22.3378553)",700
1286,308475640,secondary,3.0,119.415,50,青山道 Castle Peak Road,1,648622765,308475643,"LINESTRING (114.1571036 22.3378553, 114.1579941 22.3371662)",700
1287,1641766656,residential,1.0,64.897,50,發祥街 Fat Tseung Street,1,103430956,308475640,"LINESTRING (114.1567091 22.3373998, 114.1571036 22.3378553)",400
1288,1641766678,residential,1.0,64.053,50,發祥街 Fat Tseung Street,1,30151558,308475640,"LINESTRING (114.1575131 22.3382893, 114.1571036 22.3378553)",400
1289,308475643,residential,1.0,66.468,50,永隆街 Wing Lung Street,1,103239113,1641766640,"LINESTRING (114.1579941 22.3371662, 114.1575818 22.3367059)",400
