,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
890,59816013,-36.7992244,174.7238192,traffic_signals,3,174.7238192,-36.7992244,,POINT (174.7238192 -36.7992244)
891,5832483678,-36.7992635,174.7234915,,4,174.7234915,-36.7992635,,POINT (174.7234915 -36.7992635)
892,5832483680,-36.7994541,174.7239101,,3,174.7239101,-36.7994541,,POINT (174.7239101 -36.7994541)
893,59816025,-36.8100852,174.7254991,traffic_signals,4,174.7254991,-36.8100852,,POINT (174.7254991 -36.8100852)
894,5709735375,-36.8098266,174.7255438,,4,174.7255438,-36.8098266,,POINT (174.7255438 -36.8098266)
895,5709735373,-36.8100738,174.7257841,,4,174.7257841,-36.8100738,,POINT (174.7257841 -36.8100738)
896,5709735377,-36.8100687,174.7250891,,4,174.7250891,-36.8100687,,POINT (174.7250891 -36.8100687)
897,5709735371,-36.810356,174.7255871,,4,174.7255871,-36.810356,,POINT (174.7255871 -36.810356)
898,59816096,-36.8110286,174.7435555,,3,174.7435555,-36.8110286,,POINT (174.7435555 -36.8110286)
899,6337682866,-36.8122358,174.7501559,,4,174.7501559,-36.8122358,,POINT (174.7501559 -36.8122358)
900,5816233354,-36.8035235,174.7445344,,3,174.7445344,-36.8035235,,POINT (174.7445344 -36.8035235)
901,59816106,-36.8121967,174.750775,,3,174.750775,-36.8121967,,POINT (174.750775 -36.8121967)
902,1707818712,-36.8121978,174.751007,,3,174.751007,-36.8121978,,POINT (174.751007 -36.8121978)
903,59816906,-36.7796186,174.7145641,,3,174.7145641,-36.7796186,,POINT (174.7145641 -36.7796186)
904,300306311,-36.7796339,174.7141654,,3,174.7141654,-36.7796339,,POINT (174.7141654 -36.7796339)
905,59816909,-36.7796468,174.7136616,,3,174.7136616,-36.7796468,,POINT (174.7136616 -36.7796468)
906,300306313,-36.7795722,174.7140117,,3,174.7140117,-36.7795722,,POINT (174.7140117 -36.7795722)
907,59816916,-36.7820123,174.7111781,,3,174.7111781,-36.7820123,,POINT (174.7111781 -36.7820123)
908,300306505,-36.7822167,174.7111388,,3,174.7111388,-36.7822167,,POINT (174.7111388 -36.7822167)
909,59816917,-36.7823139,174.7106843,,3,174.7106843,-36.7823139,,POINT (174.7106843 -36.7823139)
910,300306510,-36.7822433,174.7109315,,3,174.7109315,-36.7822433,,POINT (174.7109315 -36.7822433)
911,6224346306,-36.7850891,174.7072727,,2,174.7072727,-36.7850891,,POINT (174.7072727 -36.7850891)
912,59817138,-36.7826404,174.7369702,traffic_signals,3,174.7369702,-36.7826404,,POINT (174.7369702 -36.7826404)
913,4519795050,-36.7827896,174.7371483,,3,174.7371483,-36.7827896,,POINT (174.7371483 -36.7827896)
914,4519795058,-36.7824894,174.7371695,,3,174.7371695,-36.7824894,,POINT (174.7371695 -36.7824894)
915,4519795042,-36.7827476,174.7368414,,3,174.7368414,-36.7827476,,POINT (174.7368414 -36.7827476)
916,59817142,-36.7770085,174.7441299,,3,174.7441299,-36.7770085,,POINT (174.7441299 -36.7770085)
917,6512504897,-36.7768562,174.7440326,,3,174.7440326,-36.7768562,,POINT (174.7440326 -36.7768562)
918,3278120141,-36.778585,174.7452038,,3,174.7452038,-36.778585,,POINT (174.7452038 -36.778585)
919,6512504894,-36.7771392,174.7439632,,3,174.7439632,-36.7771392,,POINT (174.7439632 -36.7771392)
920,59817613,-36.7791921,174.7457222,,3,174.7457222,-36.7791921,,POINT (174.7457222 -36.7791921)
921,5700428481,-36.7790938,174.7455578,,3,174.7455578,-36.7790938,,POINT (174.7455578 -36.7790938)
922,4576575016,-36.7799875,174.7489973,,3,174.7489973,-36.7799875,,POINT (174.7489973 -36.7799875)
923,59817623,-36.7724811,174.7411108,,3,174.7411108,-36.7724811,,POINT (174.7411108 -36.7724811)
924,4716021046,-36.7724326,174.7411971,,4,174.7411971,-36.7724326,,POINT (174.7411971 -36.7724326)
925,5830499597,-36.7723511,174.7409566,,3,174.7409566,-36.7723511,,POINT (174.7409566 -36.7723511)
926,59817653,-36.7699787,174.7367938,,4,174.7367938,-36.7699787,,POINT (174.7367938 -36.7699787)
927,59817683,-36.769071,174.7248827,,3,174.7248827,-36.769071,,POINT (174.7248827 -36.769071)
928,6226720715,-36.7699574,174.7373314,,3,174.7373314,-36.7699574,,POINT (174.7373314 -36.7699574)
929,6226720717,-36.770185,174.7372215,,4,174.7372215,-36.770185,,POINT (174.7372215 -36.770185)
930,59817660,-36.7719193,174.7405906,,3,174.7405906,-36.7719193,,POINT (174.7405906 -36.7719193)
931,4716021021,-36.7723149,174.7414481,,3,174.7414481,-36.7723149,,POINT (174.7414481 -36.7723149)
932,6216245085,-36.7688909,174.7253971,,1,174.7253971,-36.7688909,,POINT (174.7253971 -36.7688909)
933,5712260906,-36.7695119,174.7231776,,3,174.7231776,-36.7695119,,POINT (174.7231776 -36.7695119)
934,59817712,-36.7806974,174.7504896,,3,174.7504896,-36.7806974,,POINT (174.7504896 -36.7806974)
935,724031701,-36.7821429,174.7522854,,3,174.7522854,-36.7821429,,POINT (174.7522854 -36.7821429)
936,4576575012,-36.7803544,174.7500742,,3,174.7500742,-36.7803544,,POINT (174.7500742 -36.7803544)
937,59817720,-36.7800529,174.7499322,traffic_signals,6,174.7499322,-36.7800529,,POINT (174.7499322 -36.7800529)
938,6227220672,-36.7799084,174.7499501,,3,174.7499501,-36.7799084,,POINT (174.7499501 -36.7799084)
939,5700429306,-36.780079,174.7494964,,3,174.7494964,-36.780079,,POINT (174.7494964 -36.780079)
940,59817731,-36.7855017,174.7562758,traffic_signals,3,174.7562758,-36.7855017,,POINT (174.7562758 -36.7855017)
941,4578514134,-36.7857017,174.7560102,,3,174.7560102,-36.7857017,,POINT (174.7560102 -36.7857017)
942,4578511923,-36.7851616,174.7558607,,3,174.7558607,-36.7851616,,POINT (174.7558607 -36.7851616)
943,59817732,-36.7879504,174.7532281,traffic_signals,4,174.7532281,-36.7879504,,POINT (174.7532281 -36.7879504)
944,59817733,-36.7885941,174.7524056,traffic_signals,4,174.7524056,-36.7885941,,POINT (174.7524056 -36.7885941)
945,290928823,-36.7908176,174.7545829,,3,174.7545829,-36.7908176,,POINT (174.7545829 -36.7908176)
946,4712882392,-36.7885013,174.7523088,traffic_signals,4,174.7523088,-36.7885013,,POINT (174.7523088 -36.7885013)
947,290928685,-36.7888009,174.7521559,,3,174.7521559,-36.7888009,,POINT (174.7521559 -36.7888009)
