,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
4794,299297032,48.9767161,2.4230134,2,2.4230134,48.9767161,,,POINT (2.4230134 48.9767161)
4795,4777505259,48.9784006,2.422393,2,2.422393,48.9784006,,,POINT (2.422393 48.9784006)
4796,297895398,48.9854468,2.4598995,3,2.4598995,48.9854468,,,POINT (2.4598995 48.9854468)
4797,392108745,48.9855561,2.4598181,3,2.4598181,48.9855561,,,POINT (2.4598181 48.9855561)
4798,297898771,48.9610639,2.4009396,3,2.4009396,48.9610639,,,POINT (2.4009396 48.9610639)
4799,493236242,48.9597735,2.3990861,3,2.3990861,48.9597735,,,POINT (2.3990861 48.9597735)
4800,422035234,48.9608382,2.4010973,3,2.4010973,48.9608382,,,POINT (2.4010973 48.9608382)
4801,297898773,48.9614011,2.4013423,3,2.4013423,48.9614011,,,POINT (2.4013423 48.9614011)
4802,297898780,48.9657305,2.4083504,3,2.4083504,48.9657305,,,POINT (2.4083504 48.9657305)
4803,8592810832,48.9633894,2.4042899,3,2.4042899,48.9633894,,,POINT (2.4042899 48.9633894)
4804,1180997773,48.9527314,2.3892904,3,2.3892904,48.9527314,,,POINT (2.3892904 48.9527314)
4805,5253531267,48.9502001,2.3858806,3,2.3858806,48.9502001,,,POINT (2.3858806 48.9502001)
4806,321349235,48.7854337,2.3029959,3,2.3029959,48.7854337,,,POINT (2.3029959 48.7854337)
4807,297970496,48.7853058,2.3025833,3,2.3025833,48.7853058,,,POINT (2.3025833 48.7853058)
4808,297970500,48.7853485,2.3031252,3,2.3031252,48.7853485,,,POINT (2.3031252 48.7853485)
4809,297970508,48.7854216,2.3033197,3,2.3033197,48.7854216,,,POINT (2.3033197 48.7854216)
4810,297978605,48.7822221,2.3411902,4,2.3411902,48.7822221,,,POINT (2.3411902 48.7822221)
4811,313958189,48.7821945,2.3413153,4,2.3413153,48.7821945,,,POINT (2.3413153 48.7821945)
4812,298182153,48.7967399,2.3430253,3,2.3430253,48.7967399,,,POINT (2.3430253 48.7967399)
4813,313953184,48.7965012,2.3431873,4,2.3431873,48.7965012,,,POINT (2.3431873 48.7965012)
4814,7785697756,48.7947063,2.3435781,3,2.3435781,48.7947063,,,POINT (2.3435781 48.7947063)
4815,298182164,48.8099949,2.3271145,4,2.3271145,48.8099949,,,POINT (2.3271145 48.8099949)
4816,298182221,48.810196,2.3270788,3,2.3270788,48.810196,,,POINT (2.3270788 48.810196)
4817,3453736377,48.8098976,2.3274237,3,2.3274237,48.8098976,,,POINT (2.3274237 48.8098976)
4818,298182166,48.8101575,2.3265976,3,2.3265976,48.8101575,,,POINT (2.3265976 48.8101575)
4819,298182248,48.8096203,2.3261745,4,2.3261745,48.8096203,,,POINT (2.3261745 48.8096203)
4820,298182189,48.8094392,2.3262943,3,2.3262943,48.8094392,,,POINT (2.3262943 48.8094392)
4821,298182195,48.8094074,2.3264073,3,2.3264073,48.8094074,,,POINT (2.3264073 48.8094074)
4822,2200064686,48.8067591,2.3258615,3,2.3258615,48.8067591,,,POINT (2.3258615 48.8067591)
4823,6395636565,48.8094832,2.3266971,4,2.3266971,48.8094832,,,POINT (2.3266971 48.8094832)
4824,6490621017,48.8096443,2.3254511,3,2.3254511,48.8096443,,,POINT (2.3254511 48.8096443)
4825,298251054,48.7834559,2.2770735,3,2.2770735,48.7834559,,,POINT (2.2770735 48.7834559)
4826,298251056,48.7834498,2.2774718,3,2.2774718,48.7834498,,,POINT (2.2774718 48.7834498)
4827,3047086288,48.7828161,2.2660305,3,2.2660305,48.7828161,,,POINT (2.2660305 48.7828161)
4828,298869125,48.7835789,2.277249,3,2.277249,48.7835789,,,POINT (2.277249 48.7835789)
4829,298251107,48.7832178,2.2866703,2,2.2866703,48.7832178,,,POINT (2.2866703 48.7832178)
4830,298251110,48.7833608,2.2879075,2,2.2879075,48.7833608,,,POINT (2.2879075 48.7833608)
4831,394776612,48.7813495,2.2932966,3,2.2932966,48.7813495,,,POINT (2.2932966 48.7813495)
4832,298862026,48.7779532,2.3033638,3,2.3033638,48.7779532,traffic_signals,,POINT (2.3033638 48.7779532)
4833,2328344629,48.7781849,2.3035292,4,2.3035292,48.7781849,,,POINT (2.3035292 48.7781849)
4834,3190015148,48.7756588,2.3040781,3,2.3040781,48.7756588,,,POINT (2.3040781 48.7756588)
4835,298862040,48.7764702,2.3138263,4,2.3138263,48.7764702,,,POINT (2.3138263 48.7764702)
4836,298862066,48.7765357,2.3120357,2,2.3120357,48.7765357,,,POINT (2.3120357 48.7765357)
4837,298862072,48.7780654,2.3044108,2,2.3044108,48.7780654,,,POINT (2.3044108 48.7780654)
4838,2478005432,48.7911221,2.2843227,2,2.2843227,48.7911221,,,POINT (2.2843227 48.7911221)
4839,299014749,48.8771474,2.2844348,3,2.2844348,48.8771474,,,POINT (2.2844348 48.8771474)
4840,6750576079,48.8774005,2.2840467,4,2.2840467,48.8774005,,,POINT (2.2840467 48.8774005)
4841,299019036,48.8772437,2.2838172,3,2.2838172,48.8772437,,,POINT (2.2838172 48.8772437)
4842,545801373,48.8173393,2.4196351,5,2.4196351,48.8173393,,,POINT (2.4196351 48.8173393)
4843,5894269713,48.8179878,2.4243044,1,2.4243044,48.8179878,,,POINT (2.4243044 48.8179878)
4844,4011656238,48.9773516,2.2712295,3,2.2712295,48.9773516,,,POINT (2.2712295 48.9773516)
4845,299169150,48.9772155,2.2710987,3,2.2710987,48.9772155,,,POINT (2.2710987 48.9772155)
4846,4011656246,48.9771554,2.2713159,3,2.2713159,48.9771554,,,POINT (2.2713159 48.9771554)
4847,299169188,48.9771006,2.271646,3,2.271646,48.9771006,,,POINT (2.271646 48.9771006)
