,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
1593,4959100237,51.3747628,-0.2042888,2,-0.2042888,51.3747628,,,POINT (-0.2042888 51.3747628)
1594,7036147907,51.373304,-0.2060594,2,-0.2060594,51.373304,,,POINT (-0.2060594 51.373304)
1595,56687071,51.372969,-0.206487,2,-0.206487,51.372969,,,POINT (-0.206487 51.372969)
1596,7036147916,51.373133,-0.206271,2,-0.206271,51.373133,,,POINT (-0.206271 51.373133)
1597,56688554,51.3681742,-0.195126,3,-0.195126,51.3681742,,,POINT (-0.195126 51.3681742)
1598,4218297348,51.3751431,-0.4798481,3,-0.4798481,51.3751431,,,POINT (-0.4798481 51.3751431)
1599,4919711938,51.3716821,-0.4877146,3,-0.4877146,51.3716821,,,POINT (-0.4877146 51.3716821)
1600,124258035,51.3531063,-0.2759288,3,-0.2759288,51.3531063,,,POINT (-0.2759288 51.3531063)
1601,4948032379,51.3478041,-0.2060965,2,-0.2060965,51.3478041,,,POINT (-0.2060965 51.3478041)
1602,68368026,51.493576,-0.2673755,2,-0.2673755,51.493576,mini_roundabout,,POINT (-0.2673755 51.493576)
1603,18126555,51.4961622,-0.2639981,3,-0.2639981,51.4961622,mini_roundabout,,POINT (-0.2639981 51.4961622)
1604,70732704,51.2629497,-0.5409525,2,-0.5409525,51.2629497,,,POINT (-0.5409524999999999 51.2629497)
1605,3212652643,51.2627861,-0.5410963,2,-0.5410963,51.2627861,,,POINT (-0.5410963 51.2627861)
1606,1724508480,51.3897166,-0.1970546,3,-0.1970546,51.3897166,,,POINT (-0.1970546 51.3897166)
1607,80428810,51.3899449,-0.1978185,3,-0.1978185,51.3899449,,,POINT (-0.1978185 51.3899449)
1608,80434370,51.3903612,-0.1987059,3,-0.1987059,51.3903612,,,POINT (-0.1987059 51.3903612)
1609,5100902407,51.3910746,-0.2001094,3,-0.2001094,51.3910746,,,POINT (-0.2001094 51.3910746)
1610,80434772,51.3921314,-0.2018908,4,-0.2018908,51.3921314,,,POINT (-0.2018908 51.3921314)
1611,80435213,51.3920507,-0.2016347,3,-0.2016347,51.3920507,,,POINT (-0.2016347 51.3920507)
1612,1665331183,51.3920697,-0.2030637,3,-0.2030637,51.3920697,,,POINT (-0.2030637 51.3920697)
1613,5100833655,51.3915609,-0.2007659,3,-0.2007659,51.3915609,,,POINT (-0.2007659 51.3915609)
1614,6925808470,51.4643869,-0.131195,2,-0.131195,51.4643869,,,POINT (-0.131195 51.4643869)
1615,104060778,51.3200426,-0.1407043,5,-0.1407043,51.3200426,,,POINT (-0.1407043 51.3200426)
1616,6316984726,51.3200629,-0.1408076,3,-0.1408076,51.3200629,,,POINT (-0.1408076 51.3200629)
1617,2171155439,51.3201521,-0.1404287,3,-0.1404287,51.3201521,,,POINT (-0.1404287 51.3201521)
1618,5779147422,51.3197728,-0.1405688,3,-0.1405688,51.3197728,,,POINT (-0.1405688 51.3197728)
1619,104062814,51.3312518,-0.1382897,3,-0.1382897,51.3312518,,,POINT (-0.1382897 51.3312518)
1620,104064663,51.3268709,-0.1297635,3,-0.1297635,51.3268709,,,POINT (-0.1297635 51.3268709)
1621,6316984754,51.3204099,-0.1407344,3,-0.1407344,51.3204099,,,POINT (-0.1407344 51.3204099)
1622,107761462,51.3105054,-0.4696103,3,-0.4696103,51.3105054,,,POINT (-0.4696103 51.3105054)
1623,1727785961,51.3132821,-0.463374,3,-0.463374,51.3132821,,,POINT (-0.463374 51.3132821)
1624,107774052,51.319794,-0.4441445,3,-0.4441445,51.319794,motorway_junction,10,POINT (-0.4441445 51.319794)
1625,3200255096,51.3237323,-0.4570733,3,-0.4570733,51.3237323,,,POINT (-0.4570733 51.3237323)
1626,1274631200,51.321547,-0.4500144,3,-0.4500144,51.321547,,,POINT (-0.4500144 51.321547)
1627,1597662205,51.319986,-0.4440411,3,-0.4440411,51.319986,,,POINT (-0.4440411 51.319986)
1628,1274631196,51.3228974,-0.4508465,3,-0.4508465,51.3228974,,,POINT (-0.4508465 51.3228974)
1629,108035339,51.4844344,-0.1263968,4,-0.1263968,51.4844344,,,POINT (-0.1263968 51.4844344)
1630,736364430,51.4845085,-0.1269002,3,-0.1269002,51.4845085,,,POINT (-0.1269002 51.4845085)
1631,108035639,51.4841146,-0.1267663,3,-0.1267663,51.4841146,,,POINT (-0.1267663 51.4841146)
1632,2147168654,51.4619727,-0.1376582,4,-0.1376582,51.4619727,,,POINT (-0.1376582 51.4619727)
1633,6467315698,51.4621687,-0.1373982,3,-0.1373982,51.4621687,,,POINT (-0.1373982 51.4621687)
1634,124250378,51.4018403,-0.1944772,3,-0.1944772,51.4018403,,,POINT (-0.1944772 51.4018403)
1635,165889385,51.4014465,-0.1951656,3,-0.1951656,51.4014465,,,POINT (-0.1951656 51.4014465)
1636,124250384,51.401695,-0.1953607,3,-0.1953607,51.401695,,,POINT (-0.1953607 51.401695)
1637,480460747,51.4018821,-0.1946299,3,-0.1946299,51.4018821,,,POINT (-0.1946299 51.4018821)
1638,124250636,51.4017636,-0.1970509,3,-0.1970509,51.4017636,,,POINT (-0.1970509 51.4017636)
1639,124250886,51.4005908,-0.1966844,3,-0.1966844,51.4005908,,,POINT (-0.1966844 51.4005908)
1640,258885626,51.4015561,-0.1972448,3,-0.1972448,51.4015561,,,POINT (-0.1972448 51.4015561)
1641,1666743894,51.3938728,-0.2533079,3,-0.2533079,51.3938728,,,POINT (-0.2533079 51.3938728)
1642,1612270746,51.3534698,-0.2759945,3,-0.2759945,51.3534698,,,POINT (-0.2759945 51.3534698)
1643,124275058,51.4228452,-0.1595334,2,-0.1595334,51.4228452,,,POINT (-0.1595334 51.4228452)
1644,130233910,51.4015976,-0.16837,3,-0.16837,51.4015976,,,POINT (-0.16837 51.4015976)
1645,1674348412,51.402651,-0.1671228,3,-0.1671228,51.402651,,,POINT (-0.1671228 51.402651)
1646,130233914,51.4026823,-0.166758,3,-0.166758,51.4026823,,,POINT (-0.166758 51.4026823)
1647,1674348411,51.4025091,-0.1669522,3,-0.1669522,51.4025091,,,POINT (-0.1669522 51.4025091)
1648,6095948064,51.404908,-0.1644942,3,-0.1644942,51.404908,,,POINT (-0.1644942 51.404908)
1649,130235040,51.4015649,-0.167983,3,-0.167983,51.4015649,,,POINT (-0.167983 51.4015649)
1650,130240105,51.4017945,-0.1939967,3,-0.1939967,51.4017945,,,POINT (-0.1939967 51.4017945)
1651,165895062,51.4018731,-0.1941066,3,-0.1941066,51.4018731,,,POINT (-0.1941066 51.4018731)
