,osmid,y,x,highway,street_cou,lon,lat,ref,geometry
4119,1329175692,-34.56318,-58.6412485,,3,-58.6412485,-34.56318,,POINT (-58.6412485 -34.56318)
4120,2155638164,-34.5566107,-58.6583648,,4,-58.6583648,-34.5566107,,POINT (-58.6583648 -34.5566107)
4121,2930471576,-34.5644485,-58.6577994,,3,-58.6577994,-34.5644485,,POINT (-58.6577994 -34.5644485)
4122,1335936574,-34.8101723,-58.2781613,,3,-58.2781613,-34.8101723,,POINT (-58.2781613 -34.8101723)
4123,2099062437,-34.812943,-58.2777647,,3,-58.2777647,-34.812943,,POINT (-58.2777647 -34.812943)
4124,1393109924,-34.5330881,-58.5969631,,1,-58.5969631,-34.5330881,,POINT (-58.5969631 -34.5330881)
4125,1407894532,-34.5694328,-58.5401113,,3,-58.5401113,-34.5694328,,POINT (-58.5401113 -34.5694328)
4126,1408770533,-34.5146254,-58.5905366,milestone,3,-58.5905366,-34.5146254,km 3,POINT (-58.5905366 -34.5146254)
4127,1413946702,-34.4981373,-58.5912798,,3,-58.5912798,-34.4981373,,POINT (-58.5912798 -34.4981373)
4128,1408770800,-34.5197806,-58.5912272,,3,-58.5912272,-34.5197806,,POINT (-58.5912272 -34.5197806)
4129,1408770659,-34.5171654,-58.5885934,,1,-58.5885934,-34.5171654,,POINT (-58.5885934 -34.5171654)
4130,1408770806,-34.5197438,-58.5910097,,3,-58.5910097,-34.5197438,,POINT (-58.5910097 -34.5197438)
4131,1408770679,-34.5173353,-58.5885811,,1,-58.5885811,-34.5173353,,POINT (-58.5885811 -34.5173353)
4132,2052348903,-34.5437022,-58.602466,,3,-58.602466,-34.5437022,,POINT (-58.602466 -34.5437022)
4133,1408771156,-34.5342428,-58.5961603,,1,-58.5961603,-34.5342428,,POINT (-58.5961603 -34.5342428)
4134,1409304943,-34.562311,-58.5920628,,1,-58.5920628,-34.562311,,POINT (-58.5920628 -34.562311)
4135,1413946681,-34.494579,-58.5947359,,3,-58.5947359,-34.494579,,POINT (-58.5947359 -34.494579)
4136,2069993038,-34.4964047,-58.5930635,,3,-58.5930635,-34.4964047,,POINT (-58.5930635 -34.4964047)
4137,1419744040,-34.7854198,-58.6263701,,1,-58.6263701,-34.7854198,,POINT (-58.6263701 -34.7854198)
4138,2614138721,-34.7845282,-58.6261266,,3,-58.6261266,-34.7845282,,POINT (-58.6261266 -34.7845282)
4139,1420422346,-34.7191755,-58.5971567,,3,-58.5971567,-34.7191755,,POINT (-58.5971567 -34.7191755)
4140,1421545709,-34.7166357,-58.6340168,,1,-58.6340168,-34.7166357,,POINT (-58.6340168 -34.7166357)
