Origin,Destination,Demand,TT,TTobs,FFTT,Fitness:,9.926039415,Total Demand:,385066.6668,TSTT:,91092.59519
15,33,46.75257283,33.13109955,27.26052117,14.1896637,,,,,,
15,70,10.01936247,51.87329819,44.72342335,21.6741954,,,,,,
15,30,14.43369383,14.02492267,15.29133861,6.69598215,,,,,,
15,65,11.33405754,47.4203073,38.5492895,17.29482705,,,,,,
15,51,32.63694114,40.51580189,32.36316895,12.97571445,,,,,,
15,34,40.58872294,30.31120712,24.5328554,11.1564372,,,,,,
15,7,10.41530872,3.129364278,2.979630716,1.897371,,,,,,
15,64,10.95265642,52.61538922,43.46017046,20.25131565,,,,,,
15,67,10.84250436,48.84840727,39.33241252,17.97624405,,,,,,
15,22,12.35404042,27.20211155,21.78796968,12.6769244,,,,,,
15,50,123.987112,34.70942574,30.20101058,11.45603685,,,,,,
15,35,49.13229651,25.0099277,25.18735041,7.8222108,,,,,,
15,66,9.491591103,49.70819112,41.01534818,17.91872345,,,,,,
15,5,2.18148817,6.093959719,7.823497799,3.940579,,,,,,
15,77,8.54844724,61.0029654,50.61416169,25.76592725,,,,,,
15,29,160.8219391,7.994321986,7.633791932,4.466719,,,,,,
15,14,139.6207194,5.391669775,5.244864886,2.5742922,,,,,,
15,76,8.987446987,57.14410487,47.08887535,22.94324225,,,,,,
15,36,45.95111238,23.47214611,22.00366897,7.3065636,,,,,,
15,21,29.36386384,34.40832769,31.78987222,17.6564192,,,,,,
15,10,10.57016825,5.567345759,4.189376852,2.8280798,,,,,,
15,37,7.678610736,29.65169446,28.29145063,9.3395946,,,,,,
15,52,33.15559173,37.99114586,31.34343031,12.2311362,,,,,,
15,28,61.71571648,12.14720644,12.5269807,4.1122746,,,,,,
15,73,9.279555999,53.92139358,43.95423553,20.74691445,,,,,,
15,72,9.089929155,56.01578307,46.43298582,21.96559875,,,,,,
15,55,14.89294681,29.62257877,29.4702568,13.448646,,,,,,
15,38,47.47975517,27.20378568,25.89593554,8.3221824,,,,,,
15,75,0.528568553,59.58879828,50.03407415,24.0477903,,,,,,
15,20,27.66679198,42.87208041,40.54281557,22.359866,,,,,,
15,74,9.981060607,51.67891797,40.98630288,19.39618065,,,,,,
15,54,41.93561236,36.04315044,33.00025206,12.007383,,,,,,
15,39,14.70228541,17.34324041,18.03768063,7.013397,,,,,,
15,40,1.350553079,21.08701225,19.1356409,8.1162342,,,,,,
15,57,9.172849403,39.51972757,34.18955177,21.1750938,,,,,,
15,3,131.8320134,6.781024125,7.164088668,3.25968,,,,,,
15,13,15.22029209,16.52219402,14.92416074,7.119584,,,,,,
15,27,66.77659022,14.39980691,15.95137729,6.1770918,,,,,,
15,2,121.6788918,9.742421873,10.61557625,4.4671572,,,,,,
15,41,49.38865123,19.26986966,20.27144696,10.0986747,,,,,,
15,56,30.7618762,27.49727481,26.81406368,13.3003758,,,,,,
15,1,869.3171462,10.27827265,11.09419706,4.581708,,,,,,
15,9,14.65459919,1.444273345,1.468731392,1.299627,,,,,,
15,19,470.6366176,6.456510446,7.192606985,3.2177944,,,,,,
15,59,4.083252761,46.7909539,40.44090851,17.89776405,,,,,,
15,42,6.841747876,38.09441806,32.21832543,19.7494899,,,,,,
15,6,186.3194651,4.723974246,6.462935131,3.321923,,,,,,
15,26,1106.729626,9.855849439,10.48708268,3.879444,,,,,,
15,43,1.827093405,33.49727421,27.21957996,16.2492231,,,,,,
15,4,1.415889879,4.470465948,4.243091217,3.1375242,,,,,,
15,18,382.7575252,7.103492716,7.388070921,3.3863906,,,,,,
15,44,17.16592387,38.96110755,32.31632893,15.7914141,,,,,,
15,61,6.426519595,52.05200315,43.73105954,18.62115285,,,,,,
15,25,17.99310534,13.89750666,15.61659753,6.0421086,,,,,,
15,12,13.28951961,42.34838821,35.92830546,23.2097492,,,,,,
15,45,33.10332149,37.34091004,31.13820965,13.5992145,,,,,,
15,60,13.68367398,42.42624412,34.65532445,14.3407662,,,,,,
15,17,1.353845666,3.900848551,4.130515236,1.8070356,,,,,,
15,63,8.928138759,44.60997658,36.6855231,23.69160195,,,,,,
15,46,43.97340355,35.09029563,32.40426161,11.2441374,,,,,,
15,24,102.7750222,18.92841973,17.50671384,6.0535866,,,,,,
15,47,36.97310402,31.17982271,29.15597219,10.0564794,,,,,,
15,16,1050.350291,2.202005514,2.29670451,0.7778366,,,,,,
69,0,0.079405336,38.98135733,32.78446563,20.4266501,,,,,,
69,15,17.03600014,37.87880748,28.53781289,17.64246395,,,,,,
69,31,3.424919216,33.89158689,26.73483683,17.44752005,,,,,,
69,32,0.086875806,24.92408317,18.02924108,11.68886585,,,,,,
69,49,9.881108053,15.80164164,11.2503628,5.9860778,,,,,,
69,68,266.0509111,4.127872671,4.579717127,2.7156936,,,,,,
69,11,16.76100937,45.78757928,39.17105605,24.61403654,,,,,,
69,71,10.43828018,12.76868065,10.77260029,5.92575755,,,,,,
69,23,6.072720042,30.58090628,23.24838977,14.3029229,,,,,,
69,33,0.544371678,24.09198374,17.35293755,10.80760745,,,,,,
69,70,20.22105505,16.35265926,13.14573428,7.12636235,,,,,,
69,30,1.68551002,47.94818975,37.1626978,21.1588893,,,,,,
69,65,10.71419884,7.198432993,6.361283644,2.746994,,,,,,
69,51,25.21951514,12.54809292,10.01164899,4.66453295,,,,,,
69,34,12.21190949,26.70413885,23.05807977,11.8328611,,,,,,
69,7,1.547914843,41.13550204,31.5174436,19.53983495,,,,,,
69,64,13.48030092,12.30206639,11.2721646,5.7034826,,,,,,
69,67,8.039494791,8.832343061,7.144406663,3.428411,,,,,,
69,22,3.466954922,27.83680302,21.94847845,14.00942705,,,,,,
69,50,10.00382116,18.5270035,14.33857049,7.1490698,,,,,,
69,35,9.601545208,27.15464447,23.18358372,11.2991801,,,,,,
69,66,19.29617539,0.492092026,0.505111431,0.194298,,,,,,
69,5,0.144895124,43.3813673,36.085907,21.58304295,,,,,,
69,77,50.3842935,19.66830408,18.42615583,11.2180942,,,,,,
69,29,1.654275093,38.43851354,28.52370758,16.54684565,,,,,,
69,14,1.633868043,36.60729286,27.73966436,16.29300515,,,,,,
69,76,10.08168001,17.12804065,14.90086949,8.3954092,,,,,,
69,36,37.77413833,27.25632008,21.40999629,11.04914435,,,,,,
69,21,22.46281746,31.67293888,24.70495973,15.48412385,,,,,,
69,10,1.534250618,43.44615324,32.72718974,20.47054375,,,,,,
69,37,4.227405605,23.27556228,18.26680735,9.56996495,,,,,,
69,52,1.176998474,15.04935733,10.45208124,5.3843522,,,,,,
69,28,1.679702454,34.05061074,25.54325781,14.59354835,,,,,,
69,73,22.92591832,13.90532937,11.76622967,6.1990814,,,,,,
69,72,0.670897288,15.99971886,14.24497996,7.4177657,,,,,,
69,55,0.124721162,32.31092838,28.50343926,16.36249145,,,,,,
69,38,1.384819337,30.00698531,23.09372831,11.76458315,,,,,,
69,75,6.701600028,19.57273406,17.8460683,9.49995725,,,,,,
69,20,0.038473794,39.08695866,32.73078132,21.09317465,,,,,,
69,74,48.97491201,11.66285376,8.798297025,4.8483476,,,,,,
69,54,1.25437626,23.28972012,19.49927979,9.83311265,,,,,,
69,39,5.729802891,33.77422964,27.24535972,14.32168955,,,,,,
69,40,0.150991213,37.32306631,31.82188955,18.12107795,,,,,,
69,57,0.301721525,24.30241159,18.65868377,12.2728313,,,,,,
69,3,1.618203422,43.14856391,35.245768,20.90214395,,,,,,
69,13,3.569497826,34.96453304,28.0196241,17.3545625,,,,,,
69,27,1.753303131,30.96120801,22.56787522,12.35237975,,,,,,
69,2,0.622209761,42.44674673,36.21941633,22.10962115,,,,,,
69,41,1.724033983,45.15087289,35.99368416,20.03537385,,,,,,
69,56,10.63124823,37.94287639,34.88111383,19.14221435,,,,,,
69,1,1.500605608,39.79346678,32.21181414,20.5999227,,,,,,
69,9,1.52021508,39.32308082,30.00654428,18.94209095,,,,,,
69,19,1.569745844,43.26896682,33.93607167,20.74670815,,,,,,
69,59,1.492221926,11.67122577,12.22171794,5.9317682,,,,,,
69,42,15.64762139,30.86373538,24.40629118,16.36743365,,,,,,
69,6,56.76681505,43.63859537,35.08066716,20.96438695,,,,,,
69,26,1.724043296,33.3565527,25.63610776,14.26989875,,,,,,
69,43,0.08870601,26.26659154,19.40754571,12.86716685,,,,,,
69,4,1.513884014,42.34927343,32.7809041,20.77998815,,,,,,
69,18,1.527192992,41.62406634,31.29542393,19.66544995,,,,,,
69,44,4.851519475,20.17940377,14.18489166,7.1641007,,,,,,
69,61,1.639909109,1.387148519,1.835747271,0.5339784,,,,,,
69,25,0.034331136,33.52858661,29.34860596,15.2411168,,,,,,
69,12,19.07936482,42.59527304,34.80379047,21.95459105,,,,,,
69,45,1.420002251,24.67572558,19.02334535,9.7673393,,,,,,
69,60,31.48202376,7.766778569,5.521658978,1.7689006,,,,,,
69,17,1.607059629,35.74488017,26.46988994,15.80655095,,,,,,
69,63,7.142134712,19.50695199,15.13375718,9.1437689,,,,,,
69,46,0.649458287,22.13625776,16.39942596,8.4224385,,,,,,
69,24,1.827860707,31.41949565,24.04761898,12.62542355,,,,,,
69,47,11.49199657,22.20067969,17.44995817,9.2544989,,,,,,
69,16,42.7596884,39.56185046,30.68016975,18.30675035,,,,,,
31,0,16.84513003,33.17040444,36.23626305,17.8459413,,,,,,
31,15,10.24469182,42.03747489,44.20516689,21.2130462,,,,,,
31,69,37.3581053,45.04145149,43.43411313,17.74026945,,,,,,
31,32,0,3.108564024,3.053397063,1.917276,,,,,,
31,49,54.6498964,32.92465767,36.70223575,12.91970295,,,,,,
31,68,30.22149481,43.04868263,41.58511103,19.91604285,,,,,,
31,11,2.185661944,21.63462609,23.02745987,12.77883069,,,,,,
31,71,28.98585092,31.13543461,29.98378248,14.86665525,,,,,,
31,23,101.7138315,24.72411462,26.70018718,11.7034257,,,,,,
31,33,1.410232968,19.72491749,21.13515008,7.7937576,,,,,,
