gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,ref,highway,nodeID,geometry,lanecapacity
5,23,None,None,False,3193.958000000001,70,1001584169,22.2855158,114.2170027,3,114.2170027,22.2855158,,,2006,POINT (114.2170027 22.2855158),3600.0
5,23,None,None,False,3193.958000000001,70,492007155,22.2813087,114.2136727,1,114.2136727,22.2813087,,,1321,POINT (114.2136727 22.2813087),1200.0
5,24,0,0,False,7093.514,72,2694738295,22.2828885,114.2228744,4,114.2228744,22.2828885,,,2587,POINT (114.2228744 22.2828885),16000.0
5,24,0,0,False,7093.514,72,984409301,22.2826834,114.2330381,3,114.2330381,22.2826834,,,1770,POINT (114.2330381 22.2826834),6600.0
5,24,0,0,False,7093.514,72,988059494,22.2797366,114.2257569,4,114.2257569,22.2797366,,,1788,POINT (114.2257569 22.2797366),5200.0
5,24,0,0,False,7093.514,72,1653118227,22.2769413,114.2282015,3,114.2282015,22.2769413,,,1652,POINT (114.2282015 22.2769413),3800.0
5,24,0,0,False,7093.514,72,4114125690,22.2847611,114.2214382,3,114.2214382,22.2847611,,,982,POINT (114.2214382 22.2847611),14000.0
5,25,None,None,False,2696.2599999999998,74,295823782,22.27951,114.23619,3,114.23619,22.27951,,,445,POINT (114.23619 22.27951),14000.0
5,25,None,None,False,2696.2599999999998,74,1179048352,22.2769309,114.2401603,3,114.2401603,22.2769309,,,2258,POINT (114.2401603 22.2769309),3600.0
5,25,None,None,False,2696.2599999999998,74,261738997,22.2723539,114.2393283,3,114.2393283,22.2723539,2,motorway_junction,163,POINT (114.2393283 22.2723539),12000.0
5,25,None,None,False,2696.2599999999998,74,4846130797,22.2736249,114.2414963,3,114.2414963,22.2736249,,,2996,POINT (114.2414963 22.2736249),4800.0
5,27,None,None,False,742.6859999999999,76,3170494128,22.2813413,114.2744187,4,114.2744187,22.2813413,,,632,POINT (114.2744187 22.2813413),5200.0
5,27,None,None,False,742.6859999999999,76,310556278,22.2825356,114.2712444,3,114.2712444,22.2825356,,,629,POINT (114.2712444 22.2825356),3600.0
6,4,None,None,False,5893.093,78,340404367,22.2994549,113.9328111,3,113.9328111,22.2994549,,,4746,POINT (113.9328111 22.2994549),6800.0
6,4,None,None,False,5893.093,78,340324024,22.2911547,113.9318216,3,113.9318216,22.2911547,,,4709,POINT (113.9318216 22.2911547),4000.0
6,4,None,None,False,5893.093,78,340324153,22.2928299,113.9258892,3,113.9258892,22.2928299,,,4711,POINT (113.9258892 22.2928299),3600.0
