gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,ZoneID,osmid,y,x,street_count,lon,lat,highway,ref,geometry,lanecapacity
4,1,None,None,False,19792.718999999997,61,21528512,51.071058,13.6379829,3,13.6379829,51.071058,,,POINT (13.6379829 51.071058),3600.0
4,2,None,None,False,15812.193000000001,63,1629974641,51.0717743,13.6578736,3,13.6578736,51.0717743,motorway_junction,78,POINT (13.6578736 51.0717743),16000.0
4,2,None,None,False,15812.193000000001,63,3516121147,51.0671104,13.6740488,3,13.6740488,51.0671104,,,POINT (13.6740488 51.0671104),3600.0
4,2,None,None,False,15812.193000000001,63,133281288,51.0608565,13.6769513,3,13.6769513,51.0608565,,,POINT (13.6769513 51.0608565),3600.0
4,2,None,None,False,15812.193000000001,63,25269444,51.0723737,13.6522081,3,13.6522081,51.0723737,,,POINT (13.6522081 51.0723737),8000.0
4,2,None,None,False,15812.193000000001,63,903673001,51.0728739,13.6683718,3,13.6683718,51.0728739,,,POINT (13.6683718 51.0728739),13200.0
4,3,None,None,False,16191.057,65,270909880,51.0618556,13.6812449,4,13.6812449,51.0618556,,,POINT (13.6812449 51.0618556),9800.0
4,3,None,None,False,16191.057,65,21647057,51.0596324,13.6896444,3,13.6896444,51.0596324,,,POINT (13.6896444 51.0596324),6300.0
4,3,None,None,False,16191.057,65,24945363,51.0784712,13.6907865,3,13.6907865,51.0784712,,,POINT (13.6907865 51.0784712),6100.0
4,3,None,None,False,16191.057,65,1636482042,51.0777557,13.7021815,3,13.7021815,51.0777557,,,POINT (13.7021815 51.0777557),2400.0
4,4,0,0,False,6713.621999999999,67,2071682,51.0587143,13.7260792,4,13.7260792,51.0587143,,,POINT (13.7260792 51.0587143),10400.0
4,4,0,0,False,6713.621999999999,67,7101166877,51.0628168,13.7169107,2,13.7169107,51.0628168,,,POINT (13.7169107 51.0628168),3600.0
4,4,0,0,False,6713.621999999999,67,5824956622,51.0582801,13.7304342,3,13.7304342,51.0582801,,,POINT (13.7304342 51.0582801),3600.0
4,4,0,1,False,9340.446,69,1150742708,51.0637621,13.7468127,6,13.7468127,51.0637621,,,POINT (13.7468127 51.0637621),13400.0
4,4,0,1,False,9340.446,69,3840988371,51.0649233,13.7401202,3,13.7401202,51.0649233,,,POINT (13.7401202 51.0649233),7200.0
4,4,0,1,False,9340.446,69,15618026,51.0615247,13.737636,5,13.737636,51.0615247,,,POINT (13.737636 51.0615247),12900.0
4,4,0,1,False,9340.446,69,3411658,51.0675691,13.7392837,3,13.7392837,51.0675691,,,POINT (13.7392837 51.0675691),6800.0
4,4,0,1,False,9340.446,69,4030574404,51.058369,13.7462632,3,13.7462632,51.058369,,,POINT (13.7462632 51.058369),5600.0
4,4,1,0,False,10268.518,71,3864841571,51.0776352,13.7165011,3,13.7165011,51.0776352,,,POINT (13.7165011 51.0776352),6800.0
4,4,1,0,False,10268.518,71,2187198440,51.0704048,13.7293431,3,13.7293431,51.0704048,,,POINT (13.7293431 51.0704048),6800.0
4,4,1,0,False,10268.518,71,24953179,51.077381,13.7195801,4,13.7195801,51.077381,,,POINT (13.7195801 51.077381),6000.0
4,4,1,1,False,7932.329,73,16573467,51.0739747,13.7390607,4,13.7390607,51.0739747,,,POINT (13.7390607 51.0739747),11900.0
4,4,1,1,False,7932.329,73,3846282157,51.0726004,13.7350462,3,13.7350462,51.0726004,,,POINT (13.7350462 51.0726004),2400.0
4,4,1,1,False,7932.329,73,25622934,51.077077,13.7326594,3,13.7326594,51.077077,,,POINT (13.7326594 51.077077),2000.0
4,4,1,1,False,7932.329,73,3030258494,51.0691813,13.738382,1,13.738382,51.0691813,,,POINT (13.738382 51.0691813),1400.0
4,4,1,1,False,7932.329,73,16573472,51.0717479,13.7390668,3,13.7390668,51.0717479,,,POINT (13.7390668 51.0717479),7200.0
4,5,None,None,False,42427.562,75,2272203032,51.0766379,13.7555263,4,13.7555263,51.0766379,,,POINT (13.7555263 51.0766379),11000.0
4,5,None,None,False,42427.562,75,1458180457,51.0599066,13.7771585,3,13.7771585,51.0599066,,,POINT (13.7771585 51.0599066),4200.0
4,5,None,None,False,42427.562,75,433065573,51.0674799,13.7764328,4,13.7764328,51.0674799,,,POINT (13.7764328 51.0674799),6600.0
4,5,None,None,False,42427.562,75,2970916282,51.0697994,13.7757228,4,13.7757228,51.0697994,,,POINT (13.7757228 51.0697994),4500.0
4,5,None,None,False,42427.562,75,3907572087,51.057612,13.7774555,2,13.7774555,51.057612,,,POINT (13.7774555 51.057612),5600.0
4,6,None,None,False,23165.357000000004,77,1762496623,51.0670074,13.7856041,4,13.7856041,51.0670074,,,POINT (13.7856041 51.0670074),8700.0
4,6,None,None,False,23165.357000000004,77,9982673425,51.0694759,13.7836285,2,13.7836285,51.0694759,,,POINT (13.7836285 51.0694759),3600.0
4,6,None,None,False,23165.357000000004,77,2970916246,51.0692839,13.7873324,3,13.7873324,51.0692839,,,POINT (13.7873324 51.0692839),6000.0
4,6,None,None,False,23165.357000000004,77,11005395,51.063829,13.8123988,3,13.8123988,51.063829,,,POINT (13.8123988 51.063829),8400.0
4,8,None,None,False,19328.745,80,3183738502,51.0609363,13.8848227,3,13.8848227,51.0609363,,,POINT (13.8848227 51.0609363),6600.0
4,8,None,None,False,19328.745,80,31353296,51.0620891,13.855166,3,13.855166,51.0620891,,,POINT (13.855166 51.0620891),3500.0
4,8,None,None,False,19328.745,80,11070701,51.0736994,13.8848918,3,13.8848918,51.0736994,,,POINT (13.8848918 51.0736994),2600.0
4,8,None,None,False,19328.745,80,3183713693,51.0599587,13.8784338,3,13.8784338,51.0599587,,,POINT (13.8784338 51.0599587),4800.0
4,8,None,None,False,19328.745,80,9976058359,51.060445,13.8608599,2,13.8608599,51.060445,,,POINT (13.8608599 51.060445),5400.0
4,9,None,None,False,3505.683,82,11070793,51.0647445,13.8952291,3,13.8952291,51.0647445,,,POINT (13.8952291 51.0647445),6000.0
4,9,None,None,False,3505.683,82,3183738527,51.064695,13.8955861,3,13.8955861,51.064695,,,POINT (13.8955861 51.064695),4800.0
4,10,None,None,False,2563.716999999999,84,29954400,51.0630933,13.9343533,3,13.9343533,51.0630933,,,POINT (13.9343533 51.0630933),2100.0
4,10,None,None,False,2563.716999999999,84,1693649283,51.0632813,13.9342913,3,13.9342913,51.0632813,,,POINT (13.9342913 51.0632813),700.0
5,0,None,None,False,4035.0399999999995,86,668019917,51.091622,13.6069787,3,13.6069787,51.091622,,,POINT (13.6069787 51.091622),6300.0
5,0,None,None,False,4035.0399999999995,86,27413456,51.0938035,13.6043151,3,13.6043151,51.0938035,,,POINT (13.6043151 51.0938035),1800.0
5,1,None,None,False,11901.217,88,25281950,51.0884216,13.6286421,3,13.6286421,51.0884216,,,POINT (13.6286421 51.0884216),6600.0
5,1,None,None,False,11901.217,88,25272871,51.0853579,13.6447297,3,13.6447297,51.0853579,,,POINT (13.6447297 51.0853579),4800.0
5,3,None,None,False,14648.872,89,25096273,51.0794738,13.6866964,3,13.6866964,51.0794738,motorway_junction,79,POINT (13.6866964 51.0794738),20000.0
5,3,None,None,False,14648.872,89,3866974284,51.0851625,13.7051788,3,13.7051788,51.0851625,,,POINT (13.7051788 51.0851625),6800.0
5,3,None,None,False,14648.872,89,3869392962,51.0820727,13.696813,3,13.696813,51.0820727,,,POINT (13.696813 51.0820727),6300.0
5,3,None,None,False,14648.872,89,25096432,51.0819386,13.6929445,4,13.6929445,51.0819386,,,POINT (13.6929445 51.0819386),8400.0
5,4,None,None,False,31743.038,91,25949480,51.093287,13.7369335,4,13.7369335,51.093287,,,POINT (13.7369335 51.093287),12200.0
5,4,None,None,False,31743.038,91,364757216,51.0867593,13.7216089,3,13.7216089,51.0867593,,,POINT (13.7216089 51.0867593),3000.0
5,4,None,None,False,31743.038,91,1115569637,51.0878397,13.7188094,3,13.7188094,51.0878397,,,POINT (13.7188094 51.0878397),1800.0
5,4,None,None,False,31743.038,91,3020440809,51.0791264,13.732216,3,13.732216,51.0791264,,,POINT (13.732216 51.0791264),4200.0
5,4,None,None,False,31743.038,91,3043453331,51.0812103,13.7202223,4,13.7202223,51.0812103,,,POINT (13.7202223 51.0812103),4800.0
5,5,None,None,False,3356.5429999999997,93,11004892,51.087799,13.7640806,3,13.7640806,51.087799,,,POINT (13.7640806 51.087799),9000.0
5,5,None,None,False,3356.5429999999997,93,25621848,51.099451,13.768944,4,13.768944,51.099451,,,POINT (13.768944 51.099451),7800.0
6,3,None,None,False,748.6410000000001,95,442828559,51.1025816,13.7136562,3,13.7136562,51.1025816,,,POINT (13.7136562 51.1025816),10000.0
6,3,None,None,False,748.6410000000001,95,151083532,51.1024633,13.7129171,3,13.7129171,51.1024633,,,POINT (13.7129171 51.1024633),6000.0
6,4,0,0,False,713.893,97,2414808767,51.1047701,13.728455,3,13.728455,51.1047701,motorway_junction,81a,POINT (13.728455 51.1047701),18000.0
6,4,0,0,False,713.893,97,21271513,51.1020358,13.7173379,3,13.7173379,51.1020358,motorway_junction,80,POINT (13.7173379 51.1020358),16000.0
6,4,0,0,False,713.893,97,27254447,51.1000428,13.7147489,3,13.7147489,51.1000428,,,POINT (13.7147489 51.1000428),6200.0
6,4,0,0,False,713.893,97,25950253,51.1056315,13.7310897,3,13.7310897,51.1056315,,,POINT (13.7310897 51.1056315),8000.0
6,4,0,1,False,2259.796,99,824109969,51.1070862,13.7334187,3,13.7334187,51.1070862,motorway_junction,81a,POINT (13.7334187 51.1070862),20000.0
6,4,0,1,False,2259.796,99,440337754,51.1085506,13.7367259,3,13.7367259,51.1085506,,,POINT (13.7367259 51.1085506),18000.0
6,4,0,1,False,2259.796,99,440369967,51.1091705,13.7329137,3,13.7329137,51.1091705,,,POINT (13.7329137 51.1091705),4900.0
6,4,0,1,False,2259.796,99,317611132,51.1063712,13.7360501,3,13.7360501,51.1063712,,,POINT (13.7360501 51.1063712),8000.0
6,4,1,0,False,2615.7380000000003,101,27410779,51.1180855,13.7309648,4,13.7309648,51.1180855,,,POINT (13.7309648 51.1180855),6600.0
6,4,1,0,False,2615.7380000000003,101,257756769,51.1179742,13.7302372,3,13.7302372,51.1179742,,,POINT (13.7302372 51.1179742),1800.0
6,4,1,1,False,4042.5130000000004,103,440337822,51.1175451,13.7450159,3,13.7450159,51.1175451,motorway_junction,82,POINT (13.7450159 51.1175451),18000.0
6,4,1,1,False,4042.5130000000004,103,257756770,51.1183851,13.7312389,3,13.7312389,51.1183851,,,POINT (13.7312389 51.1183851),3400.0
6,4,1,1,False,4042.5130000000004,103,27410692,51.1154399,13.7464689,3,13.7464689,51.1154399,,,POINT (13.7464689 51.1154399),3600.0
