,Unnamed: 0,osmid,y,x,street_cou,lon,lat,ref,highway,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
9940,9940,583097302,45.596066,-73.68862920000001,4,-73.68862920000001,45.596066,,,POINT (-73.68862919999999 45.596066),4.0,5.0,1,1
9941,9941,246449693,45.5547069,-73.62505379999999,3,-73.62505379999999,45.5547069,,,POINT (-73.6250538 45.5547069),5.0,4.0,None,None
9942,9942,246449744,45.555332899999996,-73.6265143,4,-73.6265143,45.555332899999996,,,POINT (-73.6265143 45.5553329),5.0,4.0,None,None
9943,9943,246449757,45.5542712,-73.6258398,3,-73.6258398,45.5542712,,,POINT (-73.62583979999999 45.5542712),5.0,4.0,None,None
9944,9944,246449694,45.552740299999996,-73.62860140000001,3,-73.62860140000001,45.552740299999996,,,POINT (-73.62860139999999 45.5527403),5.0,4.0,None,None
9945,9945,246449758,45.553275799999994,-73.6276355,3,-73.6276355,45.553275799999994,,,POINT (-73.6276355 45.5532758),5.0,4.0,None,None
9946,9946,246449701,45.553295899999995,-73.6295758,3,-73.6295758,45.553295899999995,,,POINT (-73.6295758 45.5532959),5.0,4.0,None,None
9947,9947,246449704,45.5535804,-73.63024109999999,3,-73.63024109999999,45.5535804,,,POINT (-73.63024110000001 45.5535804),5.0,4.0,None,None
9948,9948,246449705,45.55397070000001,-73.6311022,3,-73.6311022,45.55397070000001,,,POINT (-73.6311022 45.5539707),5.0,4.0,None,None
9949,9949,246449706,45.554211200000005,-73.6309039,3,-73.6309039,45.554211200000005,,,POINT (-73.63090390000001 45.5542112),5.0,4.0,None,None
9950,9950,246450806,45.553790299999996,-73.63128090000001,3,-73.63128090000001,45.553790299999996,,,POINT (-73.63128089999999 45.5537903),5.0,4.0,None,None
9951,9951,246449707,45.554578,-73.6305844,3,-73.6305844,45.554578,,,POINT (-73.6305844 45.554578),5.0,4.0,None,None
9952,9952,246449709,45.555233,-73.6300349,3,-73.6300349,45.555233,,,POINT (-73.6300349 45.555233),5.0,4.0,None,None
9953,9953,246449730,45.555425899999996,-73.6304763,3,-73.6304763,45.555425899999996,,,POINT (-73.6304763 45.5554259),5.0,4.0,None,None
9954,9954,246449754,45.5541465,-73.6275491,3,-73.6275491,45.5541465,,,POINT (-73.6275491 45.5541465),5.0,4.0,None,None
9955,9955,246449710,45.553783700000004,-73.62671920000001,3,-73.62671920000001,45.553783700000004,,,POINT (-73.6267192 45.5537837),5.0,4.0,None,None
9956,9956,246449713,45.5570052,-73.6340897,3,-73.6340897,45.5570052,,,POINT (-73.6340897 45.5570052),5.0,4.0,None,None
9957,9957,246449836,45.5565989,-73.6331601,3,-73.6331601,45.5565989,,,POINT (-73.6331601 45.5565989),5.0,4.0,None,None
9958,9958,246449727,45.5584779,-73.6327936,3,-73.6327936,45.5584779,,,POINT (-73.6327936 45.5584779),5.0,4.0,None,None
9959,9959,437750585,45.5576168,-73.635489,4,-73.635489,45.5576168,,traffic_signals,POINT (-73.63548900000001 45.5576168),5.0,4.0,None,None
9960,9960,246449719,45.5583467,-73.63844549999999,4,-73.63844549999999,45.5583467,,,POINT (-73.6384455 45.5583467),5.0,4.0,None,None
9961,9961,246449773,45.557244299999994,-73.6394154,4,-73.6394154,45.557244299999994,,,POINT (-73.6394154 45.5572443),5.0,4.0,None,None
9962,9962,246449760,45.558713700000006,-73.6392908,3,-73.6392908,45.558713700000006,,,POINT (-73.6392908 45.5587137),5.0,4.0,None,None
9963,9963,246449785,45.561384600000004,-73.6382005,3,-73.6382005,45.561384600000004,,,POINT (-73.6382005 45.5613846),5.0,4.0,None,None
9964,9964,246449721,45.555232700000005,-73.6344004,3,-73.6344004,45.555232700000005,,,POINT (-73.6344004 45.5552327),5.0,4.0,None,None
9965,9965,246449725,45.5559706,-73.6337287,3,-73.6337287,45.5559706,,,POINT (-73.63372870000001 45.5559706),5.0,4.0,None,None
9966,9966,246449735,45.5560043,-73.62996590000002,3,-73.62996590000002,45.5560043,,,POINT (-73.6299659 45.5560043),5.0,4.0,None,None
9967,9967,246449743,45.5566052,-73.6294359,3,-73.6294359,45.5566052,,,POINT (-73.6294359 45.5566052),5.0,4.0,None,None
9968,9968,246449739,45.5568896,-73.63197209999998,3,-73.63197209999998,45.5568896,,,POINT (-73.6319721 45.5568896),5.0,4.0,None,None
9969,9969,246449737,45.5563929,-73.63079549999999,3,-73.63079549999999,45.5563929,,,POINT (-73.6307955 45.5563929),5.0,4.0,None,None
9970,9970,246449753,45.5562367,-73.62858979999999,4,-73.62858979999999,45.5562367,,,POINT (-73.6285898 45.5562367),5.0,4.0,None,None
9971,9971,246449749,45.5557127,-73.6273865,3,-73.6273865,45.5557127,,,POINT (-73.6273865 45.5557127),5.0,4.0,None,None
9972,9972,246449756,45.5547783,-73.6269976,3,-73.6269976,45.5547783,,,POINT (-73.6269976 45.5547783),5.0,4.0,None,None
9973,9973,246449745,45.5559287,-73.6259944,3,-73.6259944,45.5559287,,,POINT (-73.6259944 45.5559287),5.0,4.0,None,None
9974,9974,246449792,45.559281,-73.6388571,3,-73.6388571,45.559281,,,POINT (-73.6388571 45.559281),5.0,4.0,None,None
9975,9975,246449762,45.5596925,-73.64051429999999,3,-73.64051429999999,45.5596925,,,POINT (-73.64051430000001 45.5596925),5.0,4.0,None,None
9976,9976,246449769,45.5593588,-73.6412707,3,-73.6412707,45.5593588,,,POINT (-73.64127070000001 45.5593588),5.0,4.0,None,None
9977,9977,246449765,45.5605045,-73.64135970000001,3,-73.64135970000001,45.5605045,,,POINT (-73.6413597 45.5605045),5.0,4.0,None,None
9978,9978,246449779,45.5615722,-73.640392,3,-73.640392,45.5615722,,,POINT (-73.64039200000001 45.5615722),5.0,4.0,None,None
9979,9979,246449778,45.5619454,-73.64136620000001,4,-73.64136620000001,45.5619454,,,POINT (-73.64136619999999 45.5619454),5.0,4.0,None,None
9980,9980,246449798,45.560348700000006,-73.6428056,3,-73.6428056,45.560348700000006,,,POINT (-73.6428056 45.5603487),5.0,4.0,None,None
9981,9981,246449772,45.5583144,-73.6423469,4,-73.6423469,45.5583144,,,POINT (-73.64234690000001 45.5583144),5.0,4.0,None,None
9982,9982,246449805,45.5581104,-73.64156369999999,3,-73.64156369999999,45.5581104,,,POINT (-73.64156370000001 45.5581104),5.0,4.0,None,None
9983,9983,1765696646,45.5577406,-73.64268249999999,3,-73.64268249999999,45.5577406,,,POINT (-73.64268250000001 45.5577406),5.0,4.0,None,None
9984,9984,246449817,45.557568100000005,-73.6401695,3,-73.6401695,45.557568100000005,,,POINT (-73.6401695 45.5575681),5.0,4.0,None,None
9985,9985,246449822,45.5568321,-73.638437,3,-73.638437,45.5568321,,,POINT (-73.638437 45.5568321),5.0,4.0,None,None
9986,9986,437686909,45.5562442,-73.64029690000001,4,-73.64029690000001,45.5562442,,,POINT (-73.6402969 45.5562442),5.0,4.0,None,None
9987,9987,246449794,45.5616554,-73.6416218,3,-73.6416218,45.5616554,,,POINT (-73.6416218 45.5616554),5.0,4.0,None,None
9988,9988,246449784,45.5625286,-73.6408532,3,-73.6408532,45.5625286,,,POINT (-73.6408532 45.5625286),5.0,4.0,None,None
9989,9989,246449780,45.5612386,-73.6395912,3,-73.6395912,45.5612386,,,POINT (-73.6395912 45.5612386),5.0,4.0,None,None
9990,9990,246449781,45.56076029999999,-73.6387347,4,-73.6387347,45.56076029999999,,,POINT (-73.6387347 45.5607603),5.0,4.0,None,None
9991,9991,246449788,45.5600151,-73.6396468,3,-73.6396468,45.5600151,,,POINT (-73.63964679999999 45.5600151),5.0,4.0,None,None
9992,9992,246449810,45.558267799999996,-73.64146720000001,3,-73.64146720000001,45.558267799999996,,,POINT (-73.64146719999999 45.5582678),5.0,4.0,None,None
9993,9993,246449814,45.5579751,-73.6416423,3,-73.6416423,45.5579751,,,POINT (-73.6416423 45.5579751),5.0,4.0,None,None
9994,9994,437750580,45.5554284,-73.63740609999999,4,-73.63740609999999,45.5554284,,,POINT (-73.63740610000001 45.5554284),5.0,4.0,None,None
9995,9995,437868874,45.553300799999995,-73.63178149999999,4,-73.63178149999999,45.553300799999995,,,POINT (-73.6317815 45.5533008),5.0,4.0,None,None
9996,9996,246450820,45.5678321,-73.6432931,4,-73.6432931,45.5678321,,traffic_signals,POINT (-73.64329309999999 45.5678321),5.0,4.0,None,None
9997,9997,246453436,45.5684119,-73.6428098,3,-73.6428098,45.5684119,,,POINT (-73.64280979999999 45.5684119),5.0,4.0,None,None
9998,9998,246450829,45.5669491,-73.6411998,3,-73.6411998,45.5669491,,,POINT (-73.6411998 45.5669491),5.0,4.0,None,None
9999,9999,246450821,45.567278200000004,-73.643751,3,-73.643751,45.567278200000004,,,POINT (-73.64375099999999 45.5672782),5.0,4.0,None,None
10000,10000,246450825,45.5681654,-73.64581940000001,4,-73.64581940000001,45.5681654,,,POINT (-73.64581939999999 45.5681654),5.0,4.0,None,None
10001,10001,246456494,45.5663935,-73.6416592,3,-73.6416592,45.5663935,,,POINT (-73.64165920000001 45.5663935),5.0,4.0,None,None
10002,10002,246456497,45.5678417,-73.6404621,3,-73.6404621,45.5678417,,,POINT (-73.64046209999999 45.5678417),5.0,4.0,None,None
