from,to,volume,EstimatedTT,TSTT:,579615.5725852246,length,CO2,lengthm
1490606989,1490606953,87.12634479573154,26.751749027111448,,,445.862,7843.788407416771,0.277045716802
1490606989,1490606963,0.0,13.41138,,,223.523,0.0,0.138890710033
1490607117,611075639,70.5287781866061,9.713704525892771,,,161.895,2305.555998808866,0.10059685804500001
1490607117,1490607130,0.0,5.16936,,,86.156,0.0,0.053534839876
1490607069,1490607071,0.0,1.6314,,,27.19,0.0,0.01689507749
1490607071,1490606989,87.12634479573154,111.52776101372307,,,1858.794,32700.671573212898,1.1550006865740001
1490607079,1490607071,0.0,1.7864399999999998,,,29.774,0.0,0.018500700154000002
1490607079,1490607069,0.0,1.2486,,,20.81,0.0,0.01293073051
1490607130,611075639,0.0,10.015979999999999,,,166.933,0.0,0.103727325143
1490607173,2391815771,70.5287781866061,10.703669200693938,,,178.394,2540.5199920476,0.110848858174
2391815771,3808791647,70.5287781866061,106.49327052443059,,,1774.883,25276.218623078268,1.102860824593
1490607179,1490607079,0.0,69.61134,,,1160.189,0.0,0.720907799119
1490607179,1490607173,0.0,4.14294,,,69.049,0.0,0.042905046179000005
1490607277,3808791646,0.0,38.26332,,,637.722,0.0,0.396261956862
1490607277,2391851733,0.0,1.66104,,,27.684,0.0,0.017202034764
3808791646,2391815771,0.0,115.8015,,,1930.025,0.0,1.199261564275
2391851733,1490607277,0.0,1.68792,,,28.132,0.0,0.017480408972
2391851733,2391851752,70.5287781866061,6.053176513678758,,,100.886,1436.7237682753575,0.062687634706
1490607323,1490607324,0.0,0.69114,,,11.519,0.0,0.007157572549
1490607323,2391851758,0.0,0.8985000000000001,,,14.975,0.0,0.009305030725
1490607324,1490607277,0.0,7.902839999999999,,,131.714,0.0,0.081843259894
2391851758,1490607324,0.0,15.994679999999999,,,266.578,0.0,0.16564383843799999
1490607336,1490607179,0.0,179.62673999999998,,,2993.779,0.0,1.8602474510090001
1490607336,1490607277,0.0,18.9456,,,315.76,0.0,0.19620410695999999
3808791647,2391851733,70.5287781866061,37.95868355513425,,,632.643,9009.50810749784,0.393106013553
2391851752,611075084,0.0,16.4916,,,274.86,0.0,0.17079003306
2391851752,1490607323,0.0,1.590119999999994,,,26.502,0.0,0.016467574242
2923606780,611075562,0.0,107.75724,,,1795.954,0.0,1.115953732934
3939124521,8009990460,0.0,0.9910800000000001,,,16.518,0.0,0.010263806178
3536528788,3536528826,0.0,11.02794,,,183.799,0.0,0.114207368429
8009990459,3939124519,0.0,0.9428399999999999,,,15.714,0.0,0.009764223894
3757847137,5479993981,0.0,0.7806000000000001,,,13.01,0.0,0.00808403671
5479993981,4483729198,0.0,144.12905999999998,,,2402.151,0.0,1.492626969021
5479993981,4923102849,0.0,1.8547799999999999,,,30.913,0.0,0.019208441723
3939124519,611074942,0.0,116.46876,,,1941.146,0.0,1.206171831166
3939124519,3939124521,0.0,2.26788,,,37.798,0.0,0.023486581058
8009990460,671439805,0.0,68.2923,,,1138.205,0.0,0.707247579055
8009990460,8009990459,0.0,2.36502,,,39.417,0.0,0.024492580707
3977933580,611075244,0.0,118.8816,,,1981.36,0.0,1.23115964456
10032129071,10032129053,0.0,1.1322,,,18.87,0.0,0.01172527077
10027856886,611075625,0.2766258451268196,8.064,,,134.4,7.5070251947849895,0.08351226240000001
10027856886,5590306829,69.75904258319872,1.5986407128642781,,,26.644,375.29762308925757,0.016555808924
5590306837,4604787179,87.0677806585482,96.66832460868721,,,1611.137,28324.73537562009,1.001113808827
9256584597,9256584602,0.0,3.0093,,,50.155,0.0,0.031164862505
4483729199,671395623,0.0,70.93302,,,1182.217,0.0,0.7345953595070001
4483729199,611074863,0.0,1.6301999999999999,,,27.17,0.0,0.01688265007
4604787043,4604787067,0.0,68.55444,,,1142.574,0.0,0.709962348954
